,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,08/11/2024,"39,00",,,"39,00","0,00",0,0,0
1,07/11/2024,"39,00",,,"39,00","0,00",0,0,0
2,06/11/2024,"39,00",,,"39,00","0,00",0,0,0
3,05/11/2024,"39,00",,,"39,00","0,00",0,0,0
4,04/11/2024,"39,00",,,"39,00","0,00",0,0,0
5,01/11/2024,"39,00",,,"39,00","0,00",0,0,0
6,31/10/2024,"39,00",,,"39,00","0,00",0,0,0
7,30/10/2024,"39,00",,,"39,00","0,00",0,0,0
8,29/10/2024,"39,00",,,"39,00","0,00",0,0,0
9,28/10/2024,"39,00",,,"39,00","0,00",0,0,0
10,25/10/2024,"39,00",,,"39,00","0,00",0,0,0
11,24/10/2024,"39,00",,,"39,00","0,00",0,0,0
12,22/10/2024,"39,00",,,"39,00","0,00",0,0,0
13,21/10/2024,"39,00",,,"39,00","0,00",0,0,0
14,18/10/2024,"39,00",,,"39,00","0,00",0,0,0
15,17/10/2024,"39,00",,,"39,00","0,00",0,0,0
16,16/10/2024,"39,00",,,"39,00","0,00",0,0,0
17,15/10/2024,"39,00",,,"39,00","0,00",0,0,0
18,14/10/2024,"39,00",,,"39,00","0,00",0,0,0
19,10/10/2024,"39,00",,,"39,00","0,00",0,0,0
20,09/10/2024,"39,00",,,"39,00","0,00",0,0,0
21,08/10/2024,"39,00",,,"39,00","0,00",0,0,0
22,07/10/2024,"39,00",,,"39,00","0,00",0,0,0
23,04/10/2024,"39,00",,,"39,00","0,00",0,0,0
24,02/01/2020,"39,00",,,"39,00","0,00",0,0,0
25,30/12/2019,"39,00",,,"39,00","0,00",0,0,0
26,27/12/2019,"39,00",,,"39,00","0,00",0,0,0
27,26/12/2019,"39,00",,,"39,00","0,00",0,0,0
28,25/12/2019,"39,00",,,"39,00","0,00",0,0,0
29,24/12/2019,"39,00",,,"39,00","0,00",0,0,0
30,23/12/2019,"39,00",,,"39,00","0,00",0,0,0
31,20/12/2019,"39,00",,,"39,00","0,00",0,0,0
32,19/12/2019,"39,00",,,"39,00","0,00",0,0,0
33,18/12/2019,"39,00",,,"39,00","0,00",0,0,0
34,17/12/2019,"39,00",,,"39,00","0,00",0,0,0
35,16/12/2019,"39,00",,,"39,00","0,00",0,0,0
36,13/12/2019,"39,00",,,"39,00","0,00",0,0,0
37,12/12/2019,"39,00",,,"39,00","0,00",0,0,0
38,11/12/2019,"39,00",,,"39,00","0,00",0,0,0
39,10/12/2019,"39,00",,,"39,00","0,00",0,0,0
40,06/12/2019,"39,00",,,"39,00","0,00",0,0,0
41,05/12/2019,"39,00",,,"39,00","0,00",0,0,0
42,04/12/2019,"39,00",,,"39,00","0,00",0,0,0
43,03/12/2019,"39,00",,,"39,00","0,00",0,0,0
44,02/12/2019,"39,00",,,"39,00","0,00",0,0,0
45,29/11/2019,"39,00",,,"39,00","0,00",0,0,0
46,28/11/2019,"39,00",,,"39,00","0,00",0,0,0
47,27/11/2019,"39,00",,,"39,00","0,00",0,0,0
48,26/11/2019,"39,00",,,"39,00","0,00",0,0,0
49,25/11/2019,"39,00",,,"39,00","0,00",0,0,0
50,22/11/2019,"39,00",,,"39,00","0,00",0,0,0
51,21/11/2019,"39,00",,,"39,00","0,00",0,0,0
52,20/11/2019,"39,00",,,"39,00","0,00",0,0,0
53,19/11/2019,"39,00",,,"39,00","0,00",0,0,0
54,18/11/2019,"39,00",,,"39,00","0,00",0,0,0
55,15/11/2019,"39,00",,,"39,00","0,00",0,0,0
56,14/11/2019,"39,00",,,"39,00","0,00",0,0,0
