,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,08/11/2024,"1.650,00","1.650,00","1.630,00","1.645,87","2,48",63,103.690,103.690
1,07/11/2024,"1.631,00","1.631,00","1.600,00","1.606,01","0,38","1,234",1.981.820,1.981.820
2,06/11/2024,"1.600,00","1.600,00","1.600,00","1.600,00","-0,83",370,592.000,592.000
3,05/11/2024,"1.590,00","1.630,00","1.590,00","1.613,33","-1,02",84,135.520,135.520
4,04/11/2024,"1.630,00","1.630,00","1.630,00","1.630,00","1,88",100,163.000,163.000
5,01/11/2024,"1.600,00",,,"1.600,00","0,00",0,0,0
6,31/10/2024,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",268,428.800,428.800
7,30/10/2024,"1.600,00","1.600,00","1.600,00","1.600,00","-1,84",88,140.800,140.800
8,29/10/2024,"1.630,00","1.630,00","1.630,00","1.630,00","0,68",10,16.300,16.300
9,28/10/2024,"1.600,00",,,"1.619,05","0,00",0,0,0
10,25/10/2024,"1.600,00","1.630,00","1.600,00","1.619,05","-0,80",494,799.810,799.810
11,24/10/2024,"1.670,00","1.670,00","1.630,00","1.632,16","0,13",185,301.950,301.950
12,22/10/2024,"1.630,00","1.630,00","1.630,00","1.630,00","0,00",100,163.000,163.000
13,21/10/2024,"1.630,00","1.630,00","1.630,00","1.630,00","0,00",120,195.600,195.600
14,18/10/2024,"1.630,00","1.630,00","1.630,00","1.630,00","1,82",250,407.500,407.500
15,17/10/2024,"1.601,00","1.601,00","1.600,00","1.600,94","-1,42",116,185.709,185.709
16,16/10/2024,"1.600,00","1.630,00","1.600,00","1.623,94","1,46",297,482.310,482.310
17,15/10/2024,"1.600,00",,,"1.600,62","0,00",0,0,0
18,14/10/2024,"1.600,00","1.601,00","1.600,00","1.600,62","-1,80",162,259.300,259.300
19,10/10/2024,"1.630,00","1.630,00","1.630,00","1.630,00","0,00",10,16.300,16.300
20,09/10/2024,"1.630,00","1.630,00","1.630,00","1.630,00","0,00",200,326.000,326.000
21,08/10/2024,"1.630,00","1.630,00","1.630,00","1.630,00","1,88",57,92.910,92.910
22,07/10/2024,"1.600,00",,,"1.600,00","0,00",0,0,0
23,04/10/2024,"1.600,00","1.600,00","1.600,00","1.600,00","-2,99",15,24.000,24.000
24,03/10/2024,"1.650,00","1.650,00","1.639,00","1.649,25","0,60","1,020",1.682.230,1.682.230
25,02/10/2024,"1.649,00","1.698,00","1.600,00","1.639,34","-6,86","2,440",3.999.992,3.999.992
26,01/10/2024,"1.760,00",,,"1.760,00","0,00",0,0,0
27,30/09/2024,"1.760,00",,,"1.760,00","0,00",0,0,0
28,27/09/2024,"1.760,00",,,"1.760,00","0,00",0,0,0
29,26/09/2024,"1.760,00",,,"1.760,00","0,00",0,0,0
30,25/09/2024,"1.760,00",,,"1.760,00","0,00",0,0,0
31,24/09/2024,"1.760,00","1.760,00","1.760,00","1.760,00","-2,17",25,44.000,44.000
32,23/09/2024,"1.799,00",,,"1.799,00","0,00",0,0,0
33,20/09/2024,"1.799,00","1.799,00","1.799,00","1.799,00","1,80",200,359.800,359.800
34,19/09/2024,"1.799,00","1.800,00","1.640,00","1.767,14","7,19",495,874.735,874.735
35,18/09/2024,"1.679,00",,,"1.648,59","0,00",0,0,0
36,17/09/2024,"1.679,00",,,"1.648,59","0,00",0,0,0
37,16/09/2024,"1.679,00","1.679,00","1.600,00","1.648,59","1,12",439,723.730,723.730
38,13/09/2024,"1.600,00","1.648,00","1.600,00","1.630,31","1,89",293,477.680,477.680
39,12/09/2024,"1.600,00","1.600,00","1.600,00","1.600,00","0,06",117,187.200,187.200
40,11/09/2024,"1.600,00","1.600,00","1.590,00","1.599,12","-0,06",400,639.650,639.650
41,10/09/2024,"1.600,00",,,"1.600,00","0,00",0,0,0
42,06/09/2024,"1.600,00","1.600,00","1.600,00","1.600,00","2,20",30,48.000,48.000
43,05/09/2024,"1.590,00","1.590,00","1.550,00","1.565,60","0,04",444,695.125,695.125
44,04/09/2024,"1.565,00","1.565,00","1.565,00","1.565,00","0,00","5,680",8.889.200,8.889.200
45,03/09/2024,"1.565,00","1.565,00","1.565,00","1.565,00","0,00","4,883",7.641.895,7.641.895
46,02/09/2024,"1.565,00","1.565,00","1.565,00","1.565,00","2,94",77,120.505,120.505
47,30/08/2024,"1.551,00","1.551,00","1.505,00","1.520,33","0,95",75,114.025,114.025
48,29/08/2024,"1.546,00","1.546,00","1.501,00","1.505,99","0,33",477,718.359,718.359
49,27/08/2024,"1.500,00","1.510,00","1.500,00","1.501,00","0,07",100,150.100,150.100
50,26/08/2024,"1.500,00","1.500,00","1.500,00","1.500,00","1,35",60,90.000,90.000
51,23/08/2024,"1.500,00","1.500,00","1.410,00","1.480,00","1,72",90,133.200,133.200
52,22/08/2024,"1.455,00","1.455,00","1.455,00","1.455,00","-2,99",525,763.875,763.875
53,21/08/2024,"1.500,00",,,"1.499,81","0,00",0,0,0
54,20/08/2024,"1.500,00","1.500,00","1.499,00","1.499,81","-0,01",268,401.950,401.950
55,19/08/2024,"1.500,00",,,"1.500,00","0,00",0,0,0
56,16/08/2024,"1.500,00","1.500,00","1.500,00","1.500,00","7,14",8,12.000,12.000
57,15/08/2024,"1.400,00","1.400,00","1.400,00","1.400,00","0,00",208,291.200,291.200
58,14/08/2024,"1.400,00","1.400,00","1.400,00","1.400,00","-2,78",15,21.000,21.000
59,13/08/2024,"1.440,00","1.440,00","1.440,00","1.440,00","0,00",200,288.000,288.000
60,12/08/2024,"1.440,00","1.440,00","1.440,00","1.440,00","0,00",180,259.200,259.200
61,09/08/2024,"1.440,00",,,"1.440,00","0,00",0,0,0
62,08/08/2024,"1.440,00","1.440,00","1.440,00","1.440,00","0,00",900,1.296.000,1.296.000
63,07/08/2024,"1.440,00","1.440,00","1.440,00","1.440,00","0,00",954,1.373.760,1.373.760
64,06/08/2024,"1.440,00","1.440,00","1.440,00","1.440,00","-0,02",320,460.800,460.800
65,05/08/2024,"1.441,00",,,"1.440,36","0,00",0,0,0
66,01/08/2024,"1.441,00","1.441,00","1.440,00","1.440,36","0,02",313,450.833,450.833
67,31/07/2024,"1.440,00","1.440,00","1.440,00","1.440,00","0,00",90,129.600,129.600
68,30/07/2024,"1.440,00","1.440,00","1.440,00","1.440,00","0,00",116,167.040,167.040
69,29/07/2024,"1.440,00",,,"1.440,00","0,00",0,0,0
70,26/07/2024,"1.440,00",,,"1.440,00","0,00",0,0,0
71,25/07/2024,"1.440,00",,,"1.440,00","0,00",0,0,0
72,24/07/2024,"1.440,00","1.440,00","1.440,00","1.440,00","2,13",117,168.480,168.480
73,23/07/2024,"1.410,00","1.410,00","1.410,00","1.410,00","0,00",53,74.730,74.730
74,22/07/2024,"1.410,00","1.410,00","1.410,00","1.410,00","0,00",43,60.630,60.630
75,19/07/2024,"1.410,00","1.410,00","1.410,00","1.410,00","0,71",80,112.800,112.800
76,18/07/2024,"1.400,00","1.400,00","1.400,00","1.400,00","-2,78",500,700.000,700.000
77,17/07/2024,"1.440,00","1.440,00","1.440,00","1.440,00","2,86",1,1.440,2.041.440
78,16/07/2024,"1.400,00","1.400,00","1.400,00","1.400,00","0,00",295,413.000,413.000
79,15/07/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
80,12/07/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
81,11/07/2024,"1.400,00","1.400,00","1.400,00","1.400,00","-2,78",170,238.000,238.000
82,10/07/2024,"1.440,00","1.440,00","1.440,00","1.440,00","1,29",10,14.400,14.400
