,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,08/11/2024,"773,00",,,"773,00","0,00",0,0,0
1,07/11/2024,"773,00",,,"773,00","0,00",0,0,0
2,28/12/2023,"773,00",,,"773,00","0,00",0,0,0
3,27/12/2023,"773,00",,,"773,00","0,00",0,0,0
4,26/12/2023,"773,00",,,"773,00","0,00",0,0,0
5,25/12/2023,"773,00",,,"773,00","0,00",0,0,0
6,22/12/2023,"773,00",,,"773,00","0,00",0,0,0
7,21/12/2023,"773,00",,,"773,00","0,00",0,0,0
8,20/12/2023,"773,00",,,"773,00","0,00",0,0,0
9,19/12/2023,"773,00",,,"773,00","0,00",0,0,0
10,18/12/2023,"773,00",,,"773,00","0,00",0,0,0
11,15/12/2023,"773,00",,,"773,00","0,00",0,0,0
12,14/12/2023,"773,00",,,"773,00","0,00",0,0,0
13,13/12/2023,"773,00",,,"773,00","0,00",0,0,0
14,12/12/2023,"773,00",,,"773,00","0,00",0,0,0
15,11/12/2023,"773,00",,,"773,00","0,00",0,0,0
16,07/12/2023,"773,00",,,"773,00","0,00",0,0,0
17,06/12/2023,"773,00",,,"773,00","0,00",0,0,0
18,05/12/2023,"773,00",,,"773,00","0,00",0,0,0
19,04/12/2023,"773,00",,,"773,00","0,00",0,0,0
20,01/12/2023,"773,00",,,"773,00","0,00",0,0,0
21,30/11/2023,"773,00",,,"773,00","0,00",0,0,0
22,29/11/2023,"773,00",,,"773,00","0,00",0,0,0
23,28/11/2023,"773,00",,,"773,00","0,00",0,0,0
24,27/11/2023,"773,00",,,"773,00","0,00",0,0,0
25,24/11/2023,"773,00",,,"773,00","0,00",0,0,0
26,23/11/2023,"773,00",,,"773,00","0,00",0,0,0
27,22/11/2023,"773,00",,,"773,00","0,00",0,0,0
28,21/11/2023,"773,00",,,"773,00","0,00",0,0,0
29,20/11/2023,"773,00",,,"773,00","0,00",0,0,0
30,17/11/2023,"773,00",,,"773,00","0,00",0,0,0
31,16/11/2023,"773,00",,,"773,00","0,00",0,0,0
32,15/11/2023,"773,00",,,"773,00","0,00",0,0,0
33,14/11/2023,"773,00",,,"773,00","0,00",0,0,0
34,13/11/2023,"773,00",,,"773,00","0,00",0,0,0
35,10/11/2023,"773,00",,,"773,00","0,00",0,0,0
36,09/11/2023,"773,00",,,"773,00","0,00",0,0,0
37,08/11/2023,"773,00",,,"773,00","0,00",0,0,0
38,07/11/2023,"773,00",,,"773,00","0,00",0,0,0
39,06/11/2023,"773,00",,,"773,00","0,00",0,0,0
40,03/11/2023,"773,00",,,"773,00","0,00",0,0,0
41,02/11/2023,"773,00",,,"773,00","0,00",0,0,0
42,01/11/2023,"773,00",,,"773,00","0,00",0,0,0
43,31/10/2023,"773,00",,,"773,00","0,00",0,0,0
44,30/10/2023,"773,00",,,"773,00","0,00",0,0,0
45,27/10/2023,"773,00",,,"773,00","0,00",0,0,0
46,26/10/2023,"773,00",,,"773,00","0,00",0,0,0
47,25/10/2023,"773,00",,,"773,00","0,00",0,0,0
48,24/10/2023,"773,00",,,"773,00","0,00",0,0,0
49,20/10/2023,"773,00",,,"773,00","0,00",0,0,0
50,19/10/2023,"773,00",,,"773,00","0,00",0,0,0
51,18/10/2023,"773,00",,,"773,00","0,00",0,0,0
52,17/10/2023,"773,00",,,"773,00","0,00",0,0,0
53,16/10/2023,"773,00",,,"773,00","0,00",0,0,0
54,13/10/2023,"773,00",,,"773,00","0,00",0,0,0
55,12/10/2023,"773,00",,,"773,00","0,00",0,0,0
56,10/10/2023,"773,00",,,"773,00","0,00",0,0,0
57,09/10/2023,"773,00",,,"773,00","0,00",0,0,0
58,06/10/2023,"773,00",,,"773,00","0,00",0,0,0
59,05/10/2023,"773,00",,,"773,00","0,00",0,0,0
60,04/10/2023,"773,00",,,"773,00","0,00",0,0,0
61,03/10/2023,"773,00",,,"773,00","0,00",0,0,0
62,02/10/2023,"773,00",,,"773,00","0,00",0,0,0
63,29/09/2023,"773,00",,,"773,00","0,00",0,0,0
64,28/09/2023,"773,00",,,"773,00","0,00",0,0,0
65,27/09/2023,"773,00",,,"773,00","0,00",0,0,0
66,26/09/2023,"773,00",,,"773,00","0,00",0,0,0
67,25/09/2023,"773,00",,,"773,00","0,00",0,0,0
68,22/09/2023,"773,00",,,"773,00","0,00",0,0,0
69,21/09/2023,"773,00",,,"773,00","0,00",0,0,0
70,20/09/2023,"773,00",,,"773,00","0,00",0,0,0
71,19/09/2023,"773,00",,,"773,00","0,00",0,0,0
72,18/09/2023,"773,00",,,"773,00","0,00",0,0,0
73,15/09/2023,"773,00",,,"773,00","0,00",0,0,0
74,14/09/2023,"773,00",,,"773,00","0,00",0,0,0
75,13/09/2023,"773,00",,,"773,00","0,00",0,0,0
