,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,08/11/2024,"500,00",,,"500,00","0,00",0,0,0
1,07/11/2024,"500,00",,,"500,00","0,00",0,0,0
2,06/11/2024,"500,00",,,"500,00","0,00",0,0,0
3,05/11/2024,"500,00",,,"500,00","0,00",0,0,0
4,04/11/2024,"500,00",,,"500,00","0,00",0,0,0
5,01/11/2024,"500,00",,,"500,00","0,00",0,0,0
6,31/10/2024,"500,00",,,"500,00","0,00",0,0,0
7,30/10/2024,"500,00",,,"500,00","0,00",0,0,0
8,29/10/2024,"500,00",,,"500,00","0,00",0,0,0
9,28/10/2024,"500,00",,,"500,00","0,00",0,0,0
10,25/10/2024,"500,00",,,"500,00","0,00",0,0,0
11,24/10/2024,"500,00",,,"500,00","0,00",0,0,0
12,22/10/2024,"500,00",,,"500,00","0,00",0,0,0
13,21/10/2024,"500,00",,,"500,00","0,00",0,0,0
14,18/10/2024,"500,00",,,"500,00","0,00",0,0,0
15,29/12/2015,"500,00",,,"500,00","0,00",0,0,0
16,28/12/2015,"500,00",,,"500,00","0,00",0,0,0
17,25/12/2015,"500,00",,,"500,00","0,00",0,0,0
18,24/12/2015,"500,00",,,"500,00","0,00",0,0,0
19,23/12/2015,"500,00",,,"500,00","0,00",0,0,0
20,22/12/2015,"500,00",,,"500,00","0,00",0,0,0
21,21/12/2015,"500,00",,,"500,00","0,00",0,0,0
22,18/12/2015,"500,00",,,"500,00","0,00",0,0,0
23,17/12/2015,"500,00",,,"500,00","0,00",0,0,0
24,16/12/2015,"500,00",,,"500,00","0,00",0,0,0
25,15/12/2015,"500,00",,,"500,00","0,00",0,0,0
26,14/12/2015,"500,00",,,"500,00","0,00",0,0,0
27,11/12/2015,"500,00",,,"500,00","0,00",0,0,0
28,10/12/2015,"500,00",,,"500,00","0,00",0,0,0
29,09/12/2015,"500,00",,,"500,00","0,00",0,0,0
30,07/12/2015,"500,00",,,"500,00","0,00",0,0,0
31,04/12/2015,"500,00",,,"500,00","0,00",0,0,0
32,03/12/2015,"500,00",,,"500,00","0,00",0,0,0
33,01/12/2015,"500,00",,,"500,00","0,00",0,0,0
34,30/11/2015,"500,00",,,"500,00","0,00",0,0,0
35,27/11/2015,"500,00",,,"500,00","0,00",0,0,0
36,26/11/2015,"500,00",,,"500,00","0,00",0,0,0
37,25/11/2015,"500,00",,,"500,00","0,00",0,0,0
38,24/11/2015,"500,00",,,"500,00","0,00",0,0,0
39,23/11/2015,"500,00",,,"500,00","0,00",0,0,0
40,20/11/2015,"500,00",,,"500,00","0,00",0,0,0
41,19/11/2015,"500,00",,,"500,00","0,00",0,0,0
42,18/11/2015,"500,00",,,"500,00","0,00",0,0,0
43,17/11/2015,"500,00",,,"500,00","0,00",0,0,0
44,16/11/2015,"500,00",,,"500,00","0,00",0,0,0
45,13/11/2015,"500,00",,,"500,00","0,00",0,0,0
46,13/11/2015,"500,00",,,"500,00","0,00",0,0,0
47,12/11/2015,"500,00",,,"500,00","0,00",0,0,0
48,11/11/2015,"500,00",,,"500,00","0,00",0,0,0
49,10/11/2015,"500,00",,,"500,00","0,00",0,0,0
50,09/11/2015,"500,00",,,"500,00","0,00",0,0,0
51,06/11/2015,"500,00",,,"500,00","0,00",0,0,0
52,05/11/2015,"500,00",,,"500,00","0,00",0,0,0
53,04/11/2015,"500,00",,,"500,00","0,00",0,0,0
54,03/11/2015,"500,00",,,"500,00","0,00",0,0,0
55,02/11/2015,"500,00",,,"500,00","0,00",0,0,0
56,30/10/2015,"500,00",,,"500,00","0,00",0,0,0
57,29/10/2015,"500,00",,,"500,00","0,00",0,0,0
58,28/10/2015,"500,00",,,"500,00","0,00",0,0,0
59,27/10/2015,"500,00",,,"500,00","0,00",0,0,0
60,26/10/2015,"500,00",,,"500,00","0,00",0,0,0
61,22/10/2015,"500,00",,,"500,00","0,00",0,0,0
62,21/10/2015,"500,00",,,"500,00","0,00",0,0,0
63,20/10/2015,"500,00",,,"500,00","0,00",0,0,0
64,19/10/2015,"500,00",,,"500,00","0,00",0,0,0
65,16/10/2015,"500,00",,,"500,00","0,00",0,0,0
66,15/10/2015,"500,00",,,"500,00","0,00",0,0,0
67,14/10/2015,"500,00",,,"500,00","0,00",0,0,0
68,13/10/2015,"500,00",,,"500,00","0,00",0,0,0
69,09/10/2015,"500,00",,,"500,00","0,00",0,0,0
70,08/10/2015,"500,00",,,"500,00","0,00",0,0,0
71,07/10/2015,"500,00",,,"500,00","0,00",0,0,0
72,06/10/2015,"500,00",,,"500,00","0,00",0,0,0
73,05/10/2015,"500,00",,,"500,00","0,00",0,0,0
74,02/10/2015,"500,00",,,"500,00","0,00",0,0,0
75,01/10/2015,"500,00",,,"500,00","0,00",0,0,0
76,30/09/2015,"500,00",,,"500,00","0,00",0,0,0
77,29/09/2015,"500,00",,,"500,00","0,00",0,0,0
78,28/09/2015,"500,00",,,"500,00","0,00",0,0,0
79,25/09/2015,"500,00",,,"500,00","0,00",0,0,0
80,24/09/2015,"500,00",,,"500,00","0,00",0,0,0
81,23/09/2015,"500,00",,,"500,00","0,00",0,0,0
82,22/09/2015,"500,00",,,"500,00","0,00",0,0,0
83,21/09/2015,"500,00",,,"500,00","0,00",0,0,0
84,18/09/2015,"500,00",,,"500,00","0,00",0,0,0
