,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,08/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
1,07/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
2,06/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
3,05/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
4,04/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
5,01/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
6,31/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
7,30/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
8,29/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
9,28/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
10,25/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
11,24/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",133,787.227,787.227
12,22/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",132,781.308,781.308
13,21/10/2024,"5.919,00","5.920,00","5.919,00","5.919,22","0,00",276,1.633.704,1.633.704
14,18/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",109,645.171,645.171
15,17/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,04",132,781.308,781.308
16,16/10/2024,"5.919,00","5.919,00","5.850,00","5.916,49","-0,04","3,208",18.980.097,18.980.097
17,15/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
18,14/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
19,10/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
20,09/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
21,08/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
22,07/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
23,04/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
24,03/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
25,02/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",192,1.136.448,1.136.448
26,01/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,01",454,2.687.226,2.687.226
27,30/09/2024,"5.919,00","5.919,00","5.910,00","5.918,65","0,12","1,422",8.416.324,8.416.324
28,27/09/2024,"5.919,00",,,"5.911,35","0,00",0,0,0
29,26/09/2024,"5.919,00",,,"5.911,35","0,00",0,0,0
30,25/09/2024,"5.919,00","5.919,00","5.750,00","5.911,35","2,81","2,070",12.236.487,12.236.487
31,24/09/2024,"5.750,00","5.750,00","5.750,00","5.750,00","-2,85",20,115.000,115.000
32,23/09/2024,"5.919,00",,,"5.918,95","0,00",0,0,0
33,20/09/2024,"5.919,00","5.919,00","5.918,00","5.918,95","0,90","4,032",23.865.195,23.865.195
34,19/09/2024,"5.866,00","5.866,00","5.866,00","5.866,00","9,99",33,193.578,193.578
35,18/09/2024,"5.333,00","5.333,00","5.333,00","5.333,00","-9,90",5,26.665,26.665
36,17/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
37,16/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
38,13/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
39,12/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
40,11/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
41,10/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
42,06/09/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",144,852.336,852.336
43,05/09/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",10,59.190,59.190
44,04/09/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",15,88.785,88.785
45,03/09/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",111,657.009,657.009
