,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,08/11/2024,"30,00","30,00","30,00","30,00","0,00","4,980",149.400,149.400
1,28/12/2023,"30,00",,,"30,00","0,00",0,0,0
2,27/12/2023,"30,00",,,"30,00","0,00",0,0,0
3,26/12/2023,"30,00",,,"30,00","0,00",0,0,0
4,25/12/2023,"30,00",,,"30,00","0,00",0,0,0
5,22/12/2023,"30,00",,,"30,00","0,00",0,0,0
6,21/12/2023,"30,00",,,"30,00","0,00",0,0,0
7,20/12/2023,"30,00",,,"30,00","0,00",0,0,0
8,19/12/2023,"30,00",,,"30,00","0,00",0,0,0
9,18/12/2023,"30,00",,,"30,00","0,00",0,0,0
10,15/12/2023,"30,00",,,"30,00","0,00",0,0,0
11,14/12/2023,"30,00",,,"30,00","0,00",0,0,0
12,13/12/2023,"30,00",,,"30,00","0,00",0,0,0
13,12/12/2023,"30,00",,,"30,00","0,00",0,0,0
14,11/12/2023,"30,00",,,"30,00","0,00",0,0,0
15,07/12/2023,"30,00",,,"30,00","0,00",0,0,0
16,06/12/2023,"30,00",,,"30,00","0,00",0,0,0
17,05/12/2023,"30,00",,,"30,00","0,00",0,0,0
18,04/12/2023,"30,00",,,"30,00","0,00",0,0,0
19,01/12/2023,"30,00",,,"30,00","0,00",0,0,0
20,30/11/2023,"30,00",,,"30,00","0,00",0,0,0
21,29/11/2023,"30,00",,,"30,00","0,00",0,0,0
22,28/11/2023,"30,00",,,"30,00","0,00",0,0,0
23,27/11/2023,"30,00",,,"30,00","0,00",0,0,0
24,24/11/2023,"30,00",,,"30,00","0,00",0,0,0
25,23/11/2023,"30,00",,,"30,00","0,00",0,0,0
26,22/11/2023,"30,00",,,"30,00","0,00",0,0,0
27,21/11/2023,"30,00",,,"30,00","0,00",0,0,0
28,20/11/2023,"30,00",,,"30,00","0,00",0,0,0
29,17/11/2023,"30,00",,,"30,00","0,00",0,0,0
30,16/11/2023,"30,00",,,"30,00","0,00",0,0,0
31,15/11/2023,"30,00",,,"30,00","0,00",0,0,0
32,14/11/2023,"30,00",,,"30,00","0,00",0,0,0
33,13/11/2023,"30,00",,,"30,00","0,00",0,0,0
34,10/11/2023,"30,00",,,"30,00","0,00",0,0,0
35,09/11/2023,"30,00",,,"30,00","0,00",0,0,0
36,08/11/2023,"30,00",,,"30,00","0,00",0,0,0
37,07/11/2023,"30,00",,,"30,00","0,00",0,0,0
38,06/11/2023,"30,00",,,"30,00","0,00",0,0,0
