,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,08/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
1,07/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
2,06/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
3,05/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
4,04/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
5,01/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
6,31/10/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
7,30/10/2024,"12.360,00",,,"12.360,00","0,00",0,0,3.300.000
8,29/10/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
9,28/10/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
10,25/10/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
11,02/01/2020,"12.360,00",,,"12.360,00","0,00",0,0,0
12,30/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
13,27/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
14,26/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
15,25/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
16,24/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
17,23/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
18,20/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
19,19/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
20,18/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
21,17/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
22,16/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
23,13/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
24,12/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
25,11/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
26,10/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
27,06/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
28,05/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
29,04/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
30,03/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
31,02/12/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
32,29/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
33,28/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
34,27/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
35,26/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
36,25/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
37,22/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
38,21/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
39,20/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
40,19/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
41,18/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
42,15/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
43,14/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
44,13/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
45,12/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
46,12/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
47,11/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
48,08/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
49,07/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
50,06/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
51,05/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
52,04/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
53,01/11/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
54,31/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
55,30/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
56,29/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
57,28/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
58,25/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
59,24/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
60,22/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
61,21/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
62,18/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
63,17/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
64,16/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
65,15/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
66,14/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
67,10/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
68,09/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
69,08/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
70,07/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
71,04/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
72,03/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
73,02/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
74,01/10/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
75,30/09/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
76,27/09/2019,"12.360,00",,,"12.360,00","0,00",0,0,0
