,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,08/11/2024,"15.096,00","15.096,00","15.096,00","15.096,00","-0,01",9,135.864,135.864
1,07/11/2024,"15.098,00","15.098,00","15.098,00","15.098,00","-0,01",17,256.666,256.666
2,06/11/2024,"15.100,00",,,"15.100,00","0,00",0,0,0
3,05/11/2024,"15.100,00","15.100,00","15.100,00","15.100,00","0,00",11,166.100,166.100
4,04/11/2024,"15.100,00","15.100,00","15.100,00","15.100,00","2,03",2,30.200,30.200
5,01/11/2024,"14.800,00","14.800,00","14.800,00","14.800,00","0,68",12,177.600,177.600
6,31/10/2024,"14.700,00","14.700,00","14.700,00","14.700,00","0,00",21,308.700,308.700
7,30/10/2024,"14.700,00","14.701,00","14.700,00","14.700,65","0,00",31,455.720,455.720
8,29/10/2024,"14.700,00",,,"14.700,00","0,00",0,0,0
9,28/10/2024,"14.700,00","14.700,00","14.700,00","14.700,00","0,28",34,499.800,499.800
10,25/10/2024,"14.700,00","14.700,00","14.601,00","14.659,28","-0,28",141,2.066.958,2.066.958
11,24/10/2024,"14.700,00","14.700,00","14.700,00","14.700,00","1,38",40,588.000,588.000
12,22/10/2024,"14.500,00",,,"14.500,00","0,00",0,0,0
13,21/10/2024,"14.500,00","14.500,00","14.500,00","14.500,00","-1,49",1,14.500,14.500
14,18/10/2024,"14.700,00",,,"14.720,00","0,00",0,0,0
15,17/10/2024,"14.700,00","14.800,00","14.700,00","14.720,00","-0,20",5,73.600,73.600
16,16/10/2024,"14.700,00","14.790,00","14.700,00","14.748,89","-0,28",18,265.480,265.480
17,15/10/2024,"14.790,00","14.790,00","14.790,00","14.790,00","1,69",3,44.370,44.370
18,14/10/2024,"14.500,00","14.800,00","14.500,00","14.544,08","-1,73",168,2.443.405,2.443.405
19,10/10/2024,"14.800,00","14.800,00","14.800,00","14.800,00","0,00",3,44.400,44.400
20,09/10/2024,"14.800,00","14.800,00","14.800,00","14.800,00","-0,20",3,44.400,44.400
21,08/10/2024,"14.800,00","14.979,00","14.800,00","14.829,83","-1,06",12,177.958,177.958
22,07/10/2024,"14.989,00","14.989,00","14.987,00","14.988,49","1,27",47,704.459,704.459
23,04/10/2024,"14.800,00","14.800,00","14.800,00","14.800,00","-0,33",3,44.400,44.400
24,03/10/2024,"14.849,00","14.849,00","14.849,00","14.849,00","-0,01",10,148.490,148.490
25,02/10/2024,"14.850,00","14.850,00","14.850,00","14.850,00","-0,98",13,193.050,193.050
