,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,08/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
1,07/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
2,06/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
3,05/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
4,04/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
5,01/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
6,31/10/2024,"3.300,00","3.300,00","3.300,00","3.300,00","1,51",836,2.758.800,2.758.800
7,30/10/2024,"3.300,00",,,"3.251,03","0,00",0,0,0
8,29/10/2024,"3.300,00",,,"3.251,03","0,00",0,0,0
9,28/10/2024,"3.300,00","3.300,00","3.250,00","3.251,03","1,59",242,786.750,41.300.850
10,25/10/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
11,24/10/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",150,480.000,480.000
12,22/10/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",90,288.000,288.000
13,21/10/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
14,18/10/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",111,355.200,355.200
15,17/10/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
16,16/10/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",504,1.612.800,1.612.800
17,15/10/2024,"3.200,00",,,"3.200,00","0,00",0,0,48.136.760
18,14/10/2024,"3.200,00","3.200,00","3.200,00","3.200,00","-1,52",540,1.728.000,1.728.000
19,10/10/2024,"3.250,00","3.250,00","3.220,00","3.249,45","1,52",219,711.630,29.895.930
20,09/10/2024,"3.201,00","3.201,00","3.200,00","3.200,78","0,02",654,2.093.308,2.093.308
21,08/10/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",156,499.200,499.200
22,07/10/2024,"3.199,00","3.200,00","3.199,00","3.199,87","0,00","1,145",3.663.847,3.663.847
23,04/10/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00","9,408",30.105.600,30.105.600
24,03/10/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
