,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,08/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
1,07/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
2,06/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
3,05/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
4,04/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
5,01/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
6,31/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
7,30/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
8,29/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
9,28/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
10,25/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
11,24/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
12,22/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
13,21/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,5.000.100
14,18/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
15,29/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
16,28/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
17,27/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
18,26/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
19,23/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
20,22/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
21,21/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
22,20/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
23,19/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
24,16/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
25,15/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
26,14/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
27,13/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
28,12/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
29,09/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
30,07/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
31,06/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
32,05/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
33,02/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
34,01/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
35,30/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
36,29/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
37,28/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
38,25/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
39,24/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
40,23/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
41,22/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
42,21/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
43,18/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
44,17/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
45,16/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
46,15/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
47,14/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
48,11/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
49,11/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
50,10/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
51,09/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
52,08/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
53,07/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
54,04/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
55,03/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
56,02/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
57,01/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
