,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,08/11/2024,"135,00","135,00","135,00","135,00","0,00",678,91.530,91.530
1,07/11/2024,"135,00","135,00","135,00","135,00","1,76",988,133.380,133.380
2,06/11/2024,"132,00","133,00","132,00","132,66","-1,73",623,82.646,82.646
3,05/11/2024,"135,00",,,"135,00","0,00",0,0,0
4,04/11/2024,"135,00",,,"135,00","0,00",0,0,0
5,01/11/2024,"135,00","135,00","135,00","135,00","0,00",850,114.750,114.750
6,31/10/2024,"135,00",,,"135,00","0,00",0,0,0
7,30/10/2024,"135,00",,,"135,00","0,00",0,0,0
8,29/10/2024,"135,00","135,00","135,00","135,00","0,00",927,125.145,125.145
9,28/10/2024,"135,00",,,"135,00","0,00",0,0,0
10,25/10/2024,"135,00","135,00","135,00","135,00","0,00","2,513",339.255,339.255
11,24/10/2024,"135,00","135,00","135,00","135,00","1,50",950,128.250,128.250
12,22/10/2024,"133,00","133,00","133,00","133,00","-1,48",90,11.970,11.970
13,21/10/2024,"135,00",,,"135,00","0,00",0,0,0
14,18/10/2024,"135,00",,,"135,00","0,00",0,0,0
15,17/10/2024,"135,00","135,00","135,00","135,00","-0,47","1,000",135.000,135.000
16,16/10/2024,"135,00",,,"135,64","0,00",0,0,0
17,15/10/2024,"135,00",,,"135,64","0,00",0,0,0
18,14/10/2024,"135,00",,,"135,64","0,00",0,0,0
19,10/10/2024,"135,00",,,"135,64","0,00",0,0,0
20,09/10/2024,"135,00","136,00","135,00","135,64","-0,26",700,94.950,94.950
21,08/10/2024,"136,00",,,"136,00","0,00",0,0,0
22,07/10/2024,"136,00","136,00","136,00","136,00","0,00",250,34.000,34.000
23,04/10/2024,"136,00",,,"136,00","0,00",0,0,0
24,03/10/2024,"136,00","136,00","136,00","136,00","-1,90",100,13.600,13.600
25,02/10/2024,"140,00","140,00","137,00","138,63","-0,98","1,835",254.395,254.395
26,01/10/2024,"140,00","140,00","140,00","140,00","3,70",300,42.000,42.000
27,30/09/2024,"135,00",,,"135,00","0,00",0,0,0
28,27/09/2024,"135,00",,,"135,00","0,00",0,0,0
29,26/09/2024,"135,00",,,"135,00","0,00",0,0,0
30,25/09/2024,"135,00","135,00","135,00","135,00","2,27","1,740",234.900,234.900
31,24/09/2024,"132,00","132,00","132,00","132,00","0,00",120,15.840,15.840
32,23/09/2024,"132,00",,,"132,00","0,00",0,0,0
33,20/09/2024,"132,00",,,"132,00","0,00",0,0,0
34,19/09/2024,"132,00","132,00","132,00","132,00","-1,49",209,27.588,27.588
35,18/09/2024,"134,00","134,00","134,00","134,00","-2,88",190,25.460,25.460
36,17/09/2024,"139,00",,,"137,98","0,00",0,0,0
37,16/09/2024,"139,00",,,"137,98","0,00",0,0,0
38,13/09/2024,"139,00","139,00","136,00","137,98","2,21",440,60.710,60.710
39,12/09/2024,"135,00",,,"135,00","0,00",0,0,0
40,11/09/2024,"135,00",,,"135,00","0,00",0,0,0
41,10/09/2024,"135,00",,,"135,00","0,00",0,0,0
42,06/09/2024,"135,00","135,00","135,00","135,00","0,00",445,60.075,60.075
43,05/09/2024,"135,00","135,00","135,00","135,00","0,00",400,54.000,54.000
44,04/09/2024,"135,00",,,"135,00","0,00",0,0,0
45,03/09/2024,"135,00",,,"135,00","0,00",0,0,0
46,02/09/2024,"135,00",,,"135,00","0,00",0,0,0
47,30/08/2024,"135,00",,,"135,00","0,00",0,0,0
48,29/08/2024,"135,00","135,00","135,00","135,00","0,00",350,47.250,47.250
49,27/08/2024,"135,00","135,00","135,00","135,00","0,00",793,107.055,107.055
50,26/08/2024,"135,00",,,"135,00","0,00",0,0,0
51,23/08/2024,"135,00","135,00","135,00","135,00","-2,88",175,23.625,23.625
52,22/08/2024,"139,00",,,"139,00","0,00",0,0,0
53,21/08/2024,"139,00",,,"139,00","0,00",0,0,0
54,20/08/2024,"139,00",,,"139,00","0,00",0,0,0
55,19/08/2024,"139,00",,,"139,00","0,00",0,0,0
56,16/08/2024,"139,00",,,"139,00","0,00",0,0,0
57,15/08/2024,"139,00",,,"139,00","0,00",0,0,0
58,14/08/2024,"139,00",,,"139,00","0,00",0,0,0
59,13/08/2024,"139,00",,,"139,00","0,00",0,0,0
60,12/08/2024,"139,00","139,00","139,00","139,00","-0,71","5,100",708.900,708.900
61,09/08/2024,"140,00",,,"140,00","0,00",0,0,0
62,08/08/2024,"140,00",,,"140,00","0,00",0,0,0
63,07/08/2024,"140,00",,,"140,00","0,00",0,0,0
64,06/08/2024,"140,00",,,"140,00","0,00",0,0,0
65,05/08/2024,"140,00","140,00","140,00","140,00","0,00",457,63.980,63.980
66,01/08/2024,"140,00",,,"140,00","0,00",0,0,0
67,31/07/2024,"140,00","140,00","140,00","140,00","-4,11",457,63.980,63.980
68,30/07/2024,"146,00","146,00","146,00","146,00","4,29",90,13.140,13.140
69,29/07/2024,"140,00","140,00","140,00","140,00","0,00","5,671",793.940,793.940
70,26/07/2024,"140,00","140,00","140,00","140,00","0,00","1,760",246.400,246.400
71,25/07/2024,"140,00",,,"140,00","0,00",0,0,0
72,24/07/2024,"140,00","140,00","140,00","140,00","2,19",200,28.000,28.000
73,23/07/2024,"137,00","137,00","137,00","137,00","-0,38",543,74.391,74.391
74,22/07/2024,"138,00","138,00","135,00","137,52","4,18","1,244",171.072,171.072
75,19/07/2024,"132,00",,,"132,00","0,00",0,0,0
76,18/07/2024,"132,00","132,00","132,00","132,00","-3,39",900,118.800,118.800
77,17/07/2024,"136,00","137,00","136,00","136,63","0,46","1,325",181.035,181.035
78,16/07/2024,"136,00",,,"136,00","0,00",0,0,0
79,15/07/2024,"136,00","136,00","136,00","136,00","-0,58","9,000",1.224.000,1.224.000
80,12/07/2024,"138,00",,,"136,80","0,00",0,0,0
81,11/07/2024,"138,00",,,"136,80","0,00",0,0,0
82,10/07/2024,"138,00",,,"136,80","0,00",0,0,0
83,09/07/2024,"138,00",,,"136,80","0,00",0,0,0
84,08/07/2024,"138,00",,,"136,80","0,00",0,0,0
85,05/07/2024,"138,00","138,00","136,00","136,80","1,33",836,114.368,114.368
86,04/07/2024,"135,00","135,00","135,00","135,00","-2,88","1,000",135.000,135.000
87,03/07/2024,"139,00",,,"139,00","0,00",0,0,0
88,02/07/2024,"139,00",,,"139,00","0,00",0,0,0
89,01/07/2024,"139,00",,,"139,00","0,00",0,0,0
90,28/06/2024,"139,00",,,"139,00","0,00",0,0,0
91,27/06/2024,"139,00",,,"139,00","0,00",0,0,0
92,26/06/2024,"139,00",,,"139,00","0,00",0,0,0
