,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,08/11/2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,26",175,341.250,341.250
1,07/11/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
2,06/11/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
3,05/11/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
4,04/11/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
5,01/11/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
6,31/10/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
7,30/10/2024,"1.945,00","1.945,00","1.945,00","1.945,00","-0,05",125,243.125,243.125
8,29/10/2024,"1.946,00","1.946,00","1.946,00","1.946,00","0,00",91,177.086,177.086
9,28/10/2024,"1.946,00","1.946,00","1.946,00","1.946,00","-2,99",110,214.060,214.060
10,25/10/2024,"2.006,00",,,"2.006,00","0,00",0,0,0
11,24/10/2024,"2.006,00",,,"2.006,00","0,00",0,0,0
12,22/10/2024,"2.006,00",,,"2.006,00","0,00",0,0,0
13,21/10/2024,"2.006,00",,,"2.006,00","0,00",0,0,0
14,18/10/2024,"2.006,00","2.006,00","2.006,00","2.006,00","0,00",3,6.018,6.018
15,17/10/2024,"2.006,00","2.006,00","2.006,00","2.006,00","3,53",6,12.036,12.036
16,16/10/2024,"1.900,00","1.946,00","1.900,00","1.937,64","-0,43",11,21.314,21.314
17,15/10/2024,"1.946,00","1.946,00","1.946,00","1.946,00","-2,99",300,583.800,583.800
18,14/10/2024,"2.006,00","2.006,00","2.006,00","2.006,00","8,43",10,20.060,20.060
19,10/10/2024,"1.850,00","1.850,00","1.850,00","1.850,00","-7,41",165,305.250,305.250
20,09/10/2024,"1.998,00","1.998,00","1.998,00","1.998,00","0,00",10,19.980,19.980
21,08/10/2024,"1.998,00","1.998,00","1.998,00","1.998,00","2,46",14,27.972,27.972
22,07/10/2024,"1.950,00",,,"1.950,00","0,00",0,0,0
23,04/10/2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,10",16,31.200,31.200
24,03/10/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
25,02/10/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
26,01/10/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
27,30/09/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
28,27/09/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
29,26/09/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
30,25/09/2024,"1.920,00","1.972,00","1.920,00","1.947,97","-1,22",760,1.480.460,1.480.460
31,24/09/2024,"1.972,00","1.972,00","1.972,00","1.972,00","6,71",20,39.440,39.440
32,23/09/2024,"1.848,00","1.848,00","1.848,00","1.848,00","2,98",57,105.336,105.336
33,20/09/2024,"1.800,00",,,"1.794,52","0,00",0,0,0
34,19/09/2024,"1.800,00",,,"1.794,52","0,00",0,0,0
35,18/09/2024,"1.800,00","1.800,00","1.790,00","1.794,52","3,31",73,131.000,131.000
36,17/09/2024,"1.790,00","1.790,00","1.721,00","1.737,05","-0,46",43,74.693,74.693
37,16/09/2024,"1.741,00",,,"1.745,10","0,00",0,0,0
38,13/09/2024,"1.741,00","1.780,00","1.731,00","1.745,10","1,46","1,423",2.483.271,2.483.271
39,12/09/2024,"1.720,00","1.720,00","1.720,00","1.720,00","0,00",25,43.000,43.000
40,11/09/2024,"1.720,00",,,"1.720,00","0,00",0,0,0
41,10/09/2024,"1.720,00","1.720,00","1.720,00","1.720,00","-1,21",221,380.120,380.120
42,06/09/2024,"1.741,00",,,"1.741,00","0,00",0,0,0
43,05/09/2024,"1.741,00","1.741,00","1.741,00","1.741,00","0,00",10,17.410,17.410
44,04/09/2024,"1.741,00",,,"1.741,00","0,00",0,0,0
45,03/09/2024,"1.741,00",,,"1.741,00","0,00",0,0,0
46,02/09/2024,"1.741,00",,,"1.741,00","0,00",0,0,0
47,30/08/2024,"1.741,00","1.741,00","1.741,00","1.741,00","-2,19",206,358.646,358.646
48,29/08/2024,"1.780,00","1.780,00","1.780,00","1.780,00","0,32",100,178.000,178.000
49,27/08/2024,"1.760,00","1.781,00","1.760,00","1.774,32","2,56",88,156.140,156.140
50,26/08/2024,"1.730,00",,,"1.730,00","0,00",0,0,0
51,23/08/2024,"1.730,00","1.730,00","1.730,00","1.730,00","0,11",154,266.420,266.420
52,22/08/2024,"1.739,00","1.739,00","1.691,00","1.728,13","2,20",53,91.591,91.591
53,21/08/2024,"1.691,00","1.691,00","1.691,00","1.691,00","0,00",349,590.159,590.159
54,20/08/2024,"1.691,00","1.691,00","1.691,00","1.691,00","5,42",11,18.601,18.601
55,19/08/2024,"1.604,00",,,"1.604,00","0,00",0,0,0
56,16/08/2024,"1.604,00","1.604,00","1.604,00","1.604,00","0,25",31,49.724,49.724
57,15/08/2024,"1.600,00",,,"1.600,00","0,00",0,0,0
58,14/08/2024,"1.600,00","1.600,00","1.600,00","1.600,00","-2,56",500,800.000,800.000
59,13/08/2024,"1.642,00","1.642,00","1.642,00","1.642,00","-2,96",21,34.482,34.482
60,12/08/2024,"1.692,00","1.692,00","1.692,00","1.692,00","-2,98",14,23.688,23.688
61,09/08/2024,"1.744,00","1.744,00","1.744,00","1.744,00","-0,11",6,10.464,10.464
62,08/08/2024,"1.746,00",,,"1.746,00","0,00",0,0,2.390.274
63,07/08/2024,"1.746,00","1.746,00","1.746,00","1.746,00","-3,00",40,69.840,69.840
64,06/08/2024,"1.800,00",,,"1.800,00","0,00",0,0,0
65,05/08/2024,"1.800,00",,,"1.800,00","0,00",0,0,0
66,01/08/2024,"1.800,00","1.800,00","1.800,00","1.800,00","-1,80",20,36.000,36.000
67,31/07/2024,"1.833,00","1.833,00","1.833,00","1.833,00","-2,96",110,201.630,201.630
68,30/07/2024,"1.889,00","1.889,00","1.889,00","1.889,00","8,45",10,18.890,18.890
69,29/07/2024,"1.749,00","1.749,00","1.640,00","1.741,88","6,21",153,266.507,266.507
70,26/07/2024,"1.640,00","1.640,00","1.640,00","1.640,00","2,50",10,16.400,16.400
71,25/07/2024,"1.600,00","1.600,00","1.600,00","1.600,00","1,24",75,120.000,120.000
72,24/07/2024,"1.590,00","1.590,00","1.580,00","1.580,38","-1,23",104,164.360,164.360
73,23/07/2024,"1.600,00","1.600,00","1.600,00","1.600,00","0,02",59,94.400,94.400
74,22/07/2024,"1.600,00","1.600,00","1.599,00","1.599,75","-0,01",200,319.950,319.950
75,19/07/2024,"1.600,00","1.600,00","1.599,00","1.599,92","0,00",416,665.568,665.568
