,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,08/11/2024,"7.200,00",,,"7.200,00","0,00",0,0,0
1,07/11/2024,"7.200,00",,,"7.200,00","0,00",0,0,0
2,06/11/2024,"7.200,00",,,"7.200,00","0,00",0,0,0
3,05/11/2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,88",10,72.000,72.000
4,04/11/2024,"7.285,00","7.285,00","7.100,00","7.137,00","-2,02",10,71.370,71.370
5,01/11/2024,"7.284,00","7.284,00","7.284,00","7.284,00","2,59",7,50.988,50.988
6,31/10/2024,"7.100,00",,,"7.100,00","0,00",0,0,0
7,30/10/2024,"7.100,00",,,"7.100,00","0,00",0,0,0
8,29/10/2024,"7.100,00",,,"7.100,00","0,00",0,0,0
9,28/10/2024,"7.100,00",,,"7.100,00","0,00",0,0,0
10,25/10/2024,"7.100,00",,,"7.100,00","0,00",0,0,0
11,24/10/2024,"7.100,00",,,"7.100,00","0,00",0,0,0
12,22/10/2024,"7.100,00",,,"7.100,00","0,00",0,0,0
13,21/10/2024,"7.100,00","7.100,00","7.100,00","7.100,00","-1,39",20,142.000,142.000
14,18/10/2024,"7.200,00",,,"7.200,00","0,00",0,0,0
15,17/10/2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",11,79.200,79.200
16,16/10/2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",130,936.000,936.000
17,15/10/2024,"7.200,00","7.200,00","7.200,00","7.200,00","-1,22",685,4.932.000,4.932.000
18,14/10/2024,"7.289,00",,,"7.289,00","0,00",0,0,0
19,10/10/2024,"7.289,00",,,"7.289,00","0,00",0,0,0
20,09/10/2024,"7.289,00",,,"7.289,00","0,00",0,0,0
21,08/10/2024,"7.289,00",,,"7.289,00","0,00",0,0,0
22,07/10/2024,"7.289,00",,,"7.289,00","0,00",0,0,0
23,04/10/2024,"7.289,00",,,"7.289,00","0,00",0,0,0
24,03/10/2024,"7.289,00",,,"7.289,00","0,00",0,0,0
25,02/10/2024,"7.289,00",,,"7.289,00","0,00",0,0,0
26,01/10/2024,"7.289,00","7.289,00","7.289,00","7.289,00","1,96",10,72.890,72.890
27,30/09/2024,"7.150,00","7.150,00","7.149,00","7.149,13","-0,71",287,2.051.800,2.051.800
28,27/09/2024,"7.200,00",,,"7.200,00","0,00",0,0,0
29,26/09/2024,"7.200,00","7.200,00","7.200,00","7.200,00","2,86",10,72.000,72.000
30,25/09/2024,"7.000,00","7.000,00","7.000,00","7.000,00","-0,30",53,371.000,371.000
31,24/09/2024,"7.000,00","7.030,00","7.000,00","7.020,91","-1,81",33,231.690,231.690
32,23/09/2024,"7.150,00",,,"7.150,00","0,00",0,0,0
33,20/09/2024,"7.150,00",,,"7.150,00","0,00",0,0,0
34,19/09/2024,"7.150,00","7.150,00","7.150,00","7.150,00","1,71",500,3.575.000,3.575.000
35,18/09/2024,"7.030,00","7.030,00","7.030,00","7.030,00","0,12",36,253.080,253.080
36,17/09/2024,"7.050,00",,,"7.021,43","0,00",0,0,0
37,16/09/2024,"7.050,00","7.050,00","7.000,00","7.021,43","0,18",35,245.750,245.750
38,13/09/2024,"7.000,00","7.149,00","7.000,00","7.008,47","0,46",174,1.219.473,1.219.473
39,12/09/2024,"7.000,00","7.000,00","6.970,00","6.976,38","0,09",127,886.000,886.000
40,11/09/2024,"6.970,00","6.970,00","6.970,00","6.970,00","-0,14",50,348.500,348.500
41,10/09/2024,"6.980,00",,,"6.980,00","0,00",0,0,0
42,06/09/2024,"6.980,00","6.980,00","6.980,00","6.980,00","-0,03",80,558.400,558.400
43,05/09/2024,"7.000,00",,,"6.982,35","0,00",0,0,0
44,04/09/2024,"7.000,00",,,"6.982,35","0,00",0,0,0
45,03/09/2024,"7.000,00",,,"6.982,35","0,00",0,0,0
46,02/09/2024,"7.000,00",,,"6.982,35","0,00",0,0,0
47,30/08/2024,"7.000,00",,,"6.982,35","0,00",0,0,0
48,29/08/2024,"7.000,00",,,"6.982,35","0,00",0,0,0
49,27/08/2024,"7.000,00","7.000,00","6.900,00","6.982,35","1,93",34,237.400,237.400
50,26/08/2024,"6.850,00",,,"6.850,00","0,00",0,0,0
51,23/08/2024,"6.850,00",,,"6.850,00","0,00",0,0,0
52,22/08/2024,"6.850,00","6.850,00","6.850,00","6.850,00","-0,72",30,205.500,205.500
53,21/08/2024,"6.900,00",,,"6.900,00","0,00",0,0,0
54,20/08/2024,"6.900,00","6.900,00","6.900,00","6.900,00","-0,73",50,345.000,345.000
55,19/08/2024,"6.951,00",,,"6.950,72","0,00",0,0,0
56,16/08/2024,"6.951,00",,,"6.950,72","0,00",0,0,0
57,15/08/2024,"6.951,00","6.951,00","6.950,00","6.950,72","0,01",36,250.226,250.226
58,14/08/2024,"6.950,00","6.950,00","6.950,00","6.950,00","-0,56",59,410.050,410.050
59,13/08/2024,"6.950,00",,,"6.989,00","0,00",0,0,0
60,12/08/2024,"6.950,00","7.000,00","6.950,00","6.989,00","1,11",50,349.450,349.450
61,09/08/2024,"6.900,00","7.100,00","6.900,00","6.912,50","-1,24",16,110.600,110.600
62,08/08/2024,"6.999,00","6.999,00","6.999,00","6.999,00","-0,01",20,139.980,139.980
63,07/08/2024,"7.000,00","7.000,00","7.000,00","7.000,00","0,00",62,434.000,434.000
64,06/08/2024,"7.000,00",,,"7.000,00","0,00",0,0,0
65,05/08/2024,"7.000,00","7.000,00","7.000,00","7.000,00","-2,20",40,280.000,280.000
66,01/08/2024,"7.150,00","7.190,00","7.150,00","7.157,75","-0,45",71,508.200,508.200
67,31/07/2024,"7.190,00","7.190,00","7.190,00","7.190,00","0,00",50,359.500,359.500
68,30/07/2024,"7.190,00","7.190,00","7.190,00","7.190,00","0,00",50,359.500,359.500
69,29/07/2024,"7.200,00","7.200,00","7.180,00","7.190,22","0,14",92,661.500,661.500
70,26/07/2024,"7.180,00","7.180,00","7.180,00","7.180,00","-0,26",60,430.800,430.800
71,25/07/2024,"7.199,00","7.199,00","7.199,00","7.199,00","-0,01",5,35.995,35.995
