,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
1,27/11/2024,"36.900,00",,,"36.900,00","0,00",0,0,5.535.000
2,26/11/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
3,25/11/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
4,22/11/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
5,21/11/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
6,20/11/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
7,19/11/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
8,18/11/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
9,15/11/2024,"36.900,00","36.900,00","36.900,00","36.900,00",,50,1.845.000,1.845.000
10,14/11/2024,,,,,,0,0,0
11,13/11/2024,,,,,,0,0,0
