,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,"773,00",,,"773,00","0,00",0,0,0
1,27/11/2024,"773,00",,,"773,00","0,00",0,0,0
2,26/11/2024,"773,00",,,"773,00","0,00",0,0,0
3,25/11/2024,"773,00",,,"773,00","0,00",0,0,0
4,22/11/2024,"773,00",,,"773,00","0,00",0,0,0
5,21/11/2024,"773,00",,,"773,00","0,00",0,0,0
6,20/11/2024,"773,00",,,"773,00","0,00",0,0,0
7,19/11/2024,"773,00",,,"773,00","0,00",0,0,0
8,18/11/2024,"773,00",,,"773,00","0,00",0,0,0
9,15/11/2024,"773,00",,,"773,00","0,00",0,0,0
10,14/11/2024,"773,00",,,"773,00","0,00",0,0,0
11,13/11/2024,"773,00",,,"773,00","0,00",0,0,5.465.080
12,12/11/2024,"773,00",,,"773,00","0,00",0,0,0
13,11/11/2024,"773,00",,,"773,00","0,00",0,0,0
14,08/11/2024,"773,00",,,"773,00","0,00",0,0,0
15,07/11/2024,"773,00",,,"773,00","0,00",0,0,0
16,08/11/2024,"773,00",,,"773,00","0,00",0,0.0,0.0
17,07/11/2024,"773,00",,,"773,00","0,00",0,0.0,0.0
18,28/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
19,27/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
20,26/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
21,25/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
22,22/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
23,21/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
24,20/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
25,19/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
26,18/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
27,15/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
28,14/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
29,13/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
30,12/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
31,11/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
32,07/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
33,06/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
34,05/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
35,04/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
36,01/12/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
37,30/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
38,29/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
39,28/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
40,27/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
41,24/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
42,23/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
43,22/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
44,21/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
45,20/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
46,17/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
47,16/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
48,15/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
49,14/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
50,13/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
51,10/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
52,09/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
53,08/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
54,07/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
55,06/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
56,03/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
57,02/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
58,01/11/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
59,31/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
60,30/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
61,27/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
62,26/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
63,25/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
64,24/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
65,20/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
66,19/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
67,18/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
68,17/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
69,16/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
70,13/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
71,12/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
72,10/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
73,09/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
74,06/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
75,05/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
76,04/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
77,03/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
78,02/10/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
79,29/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
80,28/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
81,27/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
82,26/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
83,25/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
84,22/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
85,21/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
86,20/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
87,19/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
88,18/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
89,15/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
90,14/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
91,13/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
92,12/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
93,11/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
94,07/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
95,06/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
96,05/09/2023,"773,00",,,"773,00","0,00",0,0.0,0.0
