,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,"372,00",,,"372,00","0,00",0,0,0
1,28/12/2023,"372,00",,,"372,00","0,00",0,0,0
2,27/12/2023,"372,00",,,"372,00","0,00",0,0,0
3,26/12/2023,"372,00",,,"372,00","0,00",0,0,0
4,25/12/2023,"372,00",,,"372,00","0,00",0,0,0
5,22/12/2023,"372,00",,,"372,00","0,00",0,0,0
6,21/12/2023,"372,00",,,"372,00","0,00",0,0,0
7,20/12/2023,"372,00",,,"372,00","0,00",0,0,0
8,19/12/2023,"372,00",,,"372,00","0,00",0,0,0
9,18/12/2023,"372,00",,,"372,00","0,00",0,0,0
10,15/12/2023,"372,00",,,"372,00","0,00",0,0,0
11,14/12/2023,"372,00",,,"372,00","0,00",0,0,0
12,13/12/2023,"372,00",,,"372,00","0,00",0,0,0
13,12/12/2023,"372,00",,,"372,00","0,00",0,0,0
14,11/12/2023,"372,00",,,"372,00","0,00",0,0,0
15,07/12/2023,"372,00",,,"372,00","0,00",0,0,0
16,06/12/2023,"372,00",,,"372,00","0,00",0,0,0
17,05/12/2023,"372,00",,,"372,00","0,00",0,0,0
18,04/12/2023,"372,00",,,"372,00","0,00",0,0,0
19,01/12/2023,"372,00",,,"372,00","0,00",0,0,0
20,30/11/2023,"372,00",,,"372,00","0,00",0,0,0
21,29/11/2023,"372,00",,,"372,00","0,00",0,0,0
22,29/11/2023,"372,00",,,"372,00","0,00",0,0,0
23,28/11/2023,"372,00",,,"372,00","0,00",0,0,0
24,27/11/2023,"372,00",,,"372,00","0,00",0,0,0
25,24/11/2023,"372,00",,,"372,00","0,00",0,0,0
26,23/11/2023,"372,00",,,"372,00","0,00",0,0,0
27,22/11/2023,"372,00",,,"372,00","0,00",0,0,0
28,21/11/2023,"372,00",,,"372,00","0,00",0,0,0
29,20/11/2023,"372,00",,,"372,00","0,00",0,0,0
30,02/01/2020,"372,00",,,"372,00","0,00",0,0,0
31,30/12/2019,"372,00",,,"372,00","0,00",0,0,0
32,27/12/2019,"372,00",,,"372,00","0,00",0,0,0
33,26/12/2019,"372,00",,,"372,00","0,00",0,0,0
34,25/12/2019,"372,00",,,"372,00","0,00",0,0,0
35,24/12/2019,"372,00",,,"372,00","0,00",0,0,0
36,23/12/2019,"372,00",,,"372,00","0,00",0,0,0
37,20/12/2019,"372,00",,,"372,00","0,00",0,0,0
38,19/12/2019,"372,00",,,"372,00","0,00",0,0,0
39,18/12/2019,"372,00",,,"372,00","0,00",0,0,0
40,17/12/2019,"372,00",,,"372,00","0,00",0,0,0
41,16/12/2019,"372,00",,,"372,00","0,00",0,0,0
42,13/12/2019,"372,00",,,"372,00","0,00",0,0,0
43,12/12/2019,"372,00",,,"372,00","0,00",0,0,0
44,11/12/2019,"372,00",,,"372,00","0,00",0,0,0
45,10/12/2019,"372,00",,,"372,00","0,00",0,0,0
46,06/12/2019,"372,00",,,"372,00","0,00",0,0,0
47,05/12/2019,"372,00",,,"372,00","0,00",0,0,0
48,04/12/2019,"372,00",,,"372,00","0,00",0,0,0
49,03/12/2019,"372,00",,,"372,00","0,00",0,0,0
50,02/12/2019,"372,00",,,"372,00","0,00",0,0,0
51,29/11/2019,"372,00",,,"372,00","0,00",0,0,0
52,28/11/2019,"372,00",,,"372,00","0,00",0,0,0
53,27/11/2019,"372,00",,,"372,00","0,00",0,0,0
54,26/11/2019,"372,00",,,"372,00","0,00",0,0,0
55,25/11/2019,"372,00",,,"372,00","0,00",0,0,0
56,22/11/2019,"372,00",,,"372,00","0,00",0,0,0
57,21/11/2019,"372,00",,,"372,00","0,00",0,0,0
58,20/11/2019,"372,00",,,"372,00","0,00",0,0,0
59,19/11/2019,"372,00",,,"372,00","0,00",0,0,0
60,18/11/2019,"372,00",,,"372,00","0,00",0,0,0
61,15/11/2019,"372,00",,,"372,00","0,00",0,0,0
62,14/11/2019,"372,00",,,"372,00","0,00",0,0,0
63,13/11/2019,"372,00",,,"372,00","0,00",0,0,0
64,12/11/2019,"372,00",,,"372,00","0,00",0,0,0
65,11/11/2019,"372,00",,,"372,00","0,00",0,0,0
66,08/11/2019,"372,00",,,"372,00","0,00",0,0,0
67,07/11/2019,"372,00",,,"372,00","0,00",0,0,0
68,06/11/2019,"372,00",,,"372,00","0,00",0,0,0
69,05/11/2019,"372,00",,,"372,00","0,00",0,0,0
70,04/11/2019,"372,00",,,"372,00","0,00",0,0,0
71,01/11/2019,"372,00",,,"372,00","0,00",0,0,0
72,31/10/2019,"372,00",,,"372,00","0,00",0,0,0
73,30/10/2019,"372,00",,,"372,00","0,00",0,0,0
74,29/10/2019,"372,00",,,"372,00","0,00",0,0,0
75,28/10/2019,"372,00",,,"372,00","0,00",0,0,0
76,25/10/2019,"372,00",,,"372,00","0,00",0,0,0
77,24/10/2019,"372,00",,,"372,00","0,00",0,0,0
78,22/10/2019,"372,00",,,"372,00","0,00",0,0,0
79,21/10/2019,"372,00",,,"372,00","0,00",0,0,0
80,18/10/2019,"372,00",,,"372,00","0,00",0,0,0
81,17/10/2019,"372,00",,,"372,00","0,00",0,0,0
82,16/10/2019,"372,00",,,"372,00","0,00",0,0,0
83,15/10/2019,"372,00",,,"372,00","0,00",0,0,0
84,14/10/2019,"372,00",,,"372,00","0,00",0,0,0
85,10/10/2019,"372,00",,,"372,00","0,00",0,0,0
86,09/10/2019,"372,00",,,"372,00","0,00",0,0,0
87,08/10/2019,"372,00",,,"372,00","0,00",0,0,0
88,07/10/2019,"372,00",,,"372,00","0,00",0,0,0
89,04/10/2019,"372,00",,,"372,00","0,00",0,0,0
90,03/10/2019,"372,00",,,"372,00","0,00",0,0,0
91,02/10/2019,"372,00",,,"372,00","0,00",0,0,0
92,01/10/2019,"372,00",,,"372,00","0,00",0,0,0
93,30/09/2019,"372,00",,,"372,00","0,00",0,0,0
94,27/09/2019,"372,00",,,"372,00","0,00",0,0,0
95,26/09/2019,"372,00",,,"372,00","0,00",0,0,0
96,25/09/2019,"372,00",,,"372,00","0,00",0,0,0
97,24/09/2019,"372,00",,,"372,00","0,00",0,0,0
98,23/09/2019,"372,00",,,"372,00","0,00",0,0,0
99,20/09/2019,"372,00",,,"372,00","0,00",0,0,0
100,19/09/2019,"372,00",,,"372,00","0,00",0,0,0
101,18/09/2019,"372,00",,,"372,00","0,00",0,0,0
102,17/09/2019,"372,00",,,"372,00","0,00",0,0,0
103,16/09/2019,"372,00",,,"372,00","0,00",0,0,0
104,13/09/2019,"372,00",,,"372,00","0,00",0,0,0
105,12/09/2019,"372,00",,,"372,00","0,00",0,0,0
106,11/09/2019,"372,00",,,"372,00","0,00",0,0,0
107,10/09/2019,"372,00",,,"372,00","0,00",0,0,0
108,06/09/2019,"372,00",,,"372,00","0,00",0,0,0
109,05/09/2019,"372,00",,,"372,00","0,00",0,0,0
110,04/09/2019,"372,00",,,"372,00","0,00",0,0,0
111,03/09/2019,"372,00",,,"372,00","0,00",0,0,0
112,02/09/2019,"372,00",,,"372,00","0,00",0,0,0
113,30/08/2019,"372,00",,,"372,00","0,00",0,0,0
114,29/08/2019,"372,00",,,"372,00","0,00",0,0,0
115,27/08/2019,"372,00",,,"372,00","0,00",0,0,0
