,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
1,27/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
2,26/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
3,25/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
4,22/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
5,21/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
6,20/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
7,19/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
8,18/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
9,15/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
10,14/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
11,13/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
12,12/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
13,11/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
14,08/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
15,07/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
16,06/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
17,05/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
18,04/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
19,01/11/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
20,31/10/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
21,30/10/2024,"12.360,00",,,"12.360,00","0,00",0,0,3.300.000
22,29/10/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
23,28/10/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
24,25/10/2024,"12.360,00",,,"12.360,00","0,00",0,0,0
25,08/11/2024,"12.360,00",,,"12.360,00","0,00",0,0.0,0
26,07/11/2024,"12.360,00",,,"12.360,00","0,00",0,0.0,0
27,06/11/2024,"12.360,00",,,"12.360,00","0,00",0,0.0,0
28,05/11/2024,"12.360,00",,,"12.360,00","0,00",0,0.0,0
29,04/11/2024,"12.360,00",,,"12.360,00","0,00",0,0.0,0
30,01/11/2024,"12.360,00",,,"12.360,00","0,00",0,0.0,0
31,31/10/2024,"12.360,00",,,"12.360,00","0,00",0,0.0,0
32,30/10/2024,"12.360,00",,,"12.360,00","0,00",0,0.0,3.300.000
33,29/10/2024,"12.360,00",,,"12.360,00","0,00",0,0.0,0
34,28/10/2024,"12.360,00",,,"12.360,00","0,00",0,0.0,0
35,25/10/2024,"12.360,00",,,"12.360,00","0,00",0,0.0,0
36,02/01/2020,"12.360,00",,,"12.360,00","0,00",0,0.0,0
37,30/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
38,27/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
39,26/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
40,25/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
41,24/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
42,23/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
43,20/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
44,19/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
45,18/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
46,17/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
47,16/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
48,13/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
49,12/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
50,11/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
51,10/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
52,06/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
53,05/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
54,04/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
55,03/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
56,02/12/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
57,29/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
58,28/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
59,27/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
60,26/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
61,25/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
62,22/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
63,21/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
64,20/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
65,19/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
66,18/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
67,15/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
68,14/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
69,13/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
70,12/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
71,12/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
72,11/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
73,08/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
74,07/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
75,06/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
76,05/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
77,04/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
78,01/11/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
79,31/10/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
80,30/10/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
81,29/10/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
82,28/10/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
83,25/10/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
84,24/10/2019,"12.360,00",,,"12.360,00","0,00",0,0.0,0
