,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,"140,00","140,00","140,00","140,00","3,67",300,42.000,42.000
1,27/11/2024,"135,00","136,00","135,00","135,05","-1,06","1,377",185.965,185.965
2,26/11/2024,"136,00","137,00","136,00","136,50","-1,60","1,300",177.450,177.450
3,25/11/2024,"139,00","139,00","138,00","138,72","2,76","3,513",487.307,487.307
4,22/11/2024,"135,00","135,00","135,00","135,00","0,00",135,18.225,18.225
5,21/11/2024,"135,00","135,00","135,00","135,00","0,84","1,290",174.150,174.150
6,20/11/2024,"133,00","136,00","133,00","133,87","0,65","2,583",345.789,345.789
7,19/11/2024,"133,00","133,00","133,00","133,00","0,00","1,871",248.843,248.843
8,18/11/2024,"133,00","133,00","133,00","133,00","-0,94",500,66.500,66.500
9,15/11/2024,"135,00",,,"134,26","0,00",0,0,0
10,14/11/2024,"135,00",,,"134,26","0,00",0,0,0
11,13/11/2024,"135,00",,,"134,26","0,00",0,0,0
12,12/11/2024,"135,00","135,00","133,00","134,26","-0,55","3,106",417.010,417.010
13,11/11/2024,"135,00","135,00","135,00","135,00","0,00",786,106.110,106.110
14,08/11/2024,"135,00","135,00","135,00","135,00","0,00",678,91.530,91.530
15,07/11/2024,"135,00","135,00","135,00","135,00","1,76",988,133.380,133.380
16,06/11/2024,"132,00","133,00","132,00","132,66","-1,73",623,82.646,82.646
17,05/11/2024,"135,00",,,"135,00","0,00",0,0,0
18,04/11/2024,"135,00",,,"135,00","0,00",0,0,0
19,01/11/2024,"135,00","135,00","135,00","135,00","0,00",850,114.750,114.750
20,31/10/2024,"135,00",,,"135,00","0,00",0,0,0
21,30/10/2024,"135,00",,,"135,00","0,00",0,0,0
22,29/10/2024,"135,00","135,00","135,00","135,00","0,00",927,125.145,125.145
23,28/10/2024,"135,00",,,"135,00","0,00",0,0,0
24,25/10/2024,"135,00","135,00","135,00","135,00","0,00","2,513",339.255,339.255
25,24/10/2024,"135,00","135,00","135,00","135,00","1,50",950,128.250,128.250
26,22/10/2024,"133,00","133,00","133,00","133,00","-1,48",90,11.970,11.970
27,21/10/2024,"135,00",,,"135,00","0,00",0,0,0
28,18/10/2024,"135,00",,,"135,00","0,00",0,0,0
29,17/10/2024,"135,00","135,00","135,00","135,00","-0,47","1,000",135.000,135.000
30,16/10/2024,"135,00",,,"135,64","0,00",0,0,0
31,15/10/2024,"135,00",,,"135,64","0,00",0,0,0
32,14/10/2024,"135,00",,,"135,64","0,00",0,0,0
33,10/10/2024,"135,00",,,"135,64","0,00",0,0,0
34,09/10/2024,"135,00","136,00","135,00","135,64","-0,26",700,94.950,94.950
35,08/10/2024,"136,00",,,"136,00","0,00",0,0,0
36,07/10/2024,"136,00","136,00","136,00","136,00","0,00",250,34.000,34.000
37,04/10/2024,"136,00",,,"136,00","0,00",0,0,0
38,03/10/2024,"136,00","136,00","136,00","136,00","-1,90",100,13.600,13.600
39,02/10/2024,"140,00","140,00","137,00","138,63","-0,98","1,835",254.395,254.395
40,01/10/2024,"140,00","140,00","140,00","140,00","3,70",300,42.000,42.000
41,30/09/2024,"135,00",,,"135,00","0,00",0,0,0
42,27/09/2024,"135,00",,,"135,00","0,00",0,0,0
43,26/09/2024,"135,00",,,"135,00","0,00",0,0,0
44,25/09/2024,"135,00","135,00","135,00","135,00","2,27","1,740",234.900,234.900
45,24/09/2024,"132,00","132,00","132,00","132,00","0,00",120,15.840,15.840
46,23/09/2024,"132,00",,,"132,00","0,00",0,0,0
47,20/09/2024,"132,00",,,"132,00","0,00",0,0,0
48,19/09/2024,"132,00","132,00","132,00","132,00","-1,49",209,27.588,27.588
49,18/09/2024,"134,00","134,00","134,00","134,00","-2,88",190,25.460,25.460
50,17/09/2024,"139,00",,,"137,98","0,00",0,0,0
51,16/09/2024,"139,00",,,"137,98","0,00",0,0,0
52,13/09/2024,"139,00","139,00","136,00","137,98","2,21",440,60.710,60.710
53,12/09/2024,"135,00",,,"135,00","0,00",0,0,0
54,11/09/2024,"135,00",,,"135,00","0,00",0,0,0
55,10/09/2024,"135,00",,,"135,00","0,00",0,0,0
56,06/09/2024,"135,00","135,00","135,00","135,00","0,00",445,60.075,60.075
57,05/09/2024,"135,00","135,00","135,00","135,00","0,00",400,54.000,54.000
58,04/09/2024,"135,00",,,"135,00","0,00",0,0,0
59,03/09/2024,"135,00",,,"135,00","0,00",0,0,0
60,02/09/2024,"135,00",,,"135,00","0,00",0,0,0
61,30/08/2024,"135,00",,,"135,00","0,00",0,0,0
62,29/08/2024,"135,00","135,00","135,00","135,00","0,00",350,47.250,47.250
63,27/08/2024,"135,00","135,00","135,00","135,00","0,00",793,107.055,107.055
64,26/08/2024,"135,00",,,"135,00","0,00",0,0,0
65,23/08/2024,"135,00","135,00","135,00","135,00","-2,88",175,23.625,23.625
66,22/08/2024,"139,00",,,"139,00","0,00",0,0,0
67,21/08/2024,"139,00",,,"139,00","0,00",0,0,0
68,20/08/2024,"139,00",,,"139,00","0,00",0,0,0
69,19/08/2024,"139,00",,,"139,00","0,00",0,0,0
70,16/08/2024,"139,00",,,"139,00","0,00",0,0,0
71,15/08/2024,"139,00",,,"139,00","0,00",0,0,0
72,14/08/2024,"139,00",,,"139,00","0,00",0,0,0
73,13/08/2024,"139,00",,,"139,00","0,00",0,0,0
74,12/08/2024,"139,00","139,00","139,00","139,00","-0,71","5,100",708.900,708.900
75,08/11/2024,"135,00","135,00","135,00","135,00","0,00",678,91.530,91.530
76,07/11/2024,"135,00","135,00","135,00","135,00","1,76",988,133.380,133.380
