,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,"48.550,00","48.600,00","48.550,00","48.572,22","-0,22",18,874.300,874.300
1,27/11/2024,"48.670,00","48.700,00","48.670,00","48.677,89","-0,37",19,924.880,924.880
2,26/11/2024,"48.900,00","48.900,00","48.800,00","48.860,13","-0,08",15,732.902,732.902
3,25/11/2024,"48.900,00","48.900,00","48.900,00","48.900,00","-0,20",15,733.500,733.500
4,22/11/2024,"48.989,00","49.000,00","48.989,00","48.998,23","0,00",31,1.518.945,1.518.945
5,21/11/2024,"49.000,00","49.000,00","49.000,00","49.000,00","-0,06",14,686.000,686.000
6,20/11/2024,"49.000,00","49.101,00","49.000,00","49.028,28","-0,12",46,2.255.301,2.255.301
7,19/11/2024,"49.000,00","49.500,00","49.000,00","49.087,24","0,18",109,5.350.509,5.350.509
8,18/11/2024,"48.999,00","48.999,00","48.999,00","48.999,00","1,98",2,97.998,97.998
9,15/11/2024,"47.800,00","48.800,00","47.800,00","48.049,88","1,39",16,768.798,768.798
10,14/11/2024,"47.390,00","47.390,00","47.390,00","47.390,00","2,99",13,616.070,616.070
11,13/11/2024,"47.000,00","47.000,00","45.999,00","46.013,42","0,04",73,3.358.980,3.358.980
12,12/11/2024,"46.000,00","46.000,00","45.900,00","45.995,24","-0,01",42,1.931.800,1.931.800
13,11/11/2024,"45.998,00","45.999,00","45.998,00","45.998,13","2,22",31,1.425.942,1.425.942
14,08/11/2024,"45.000,00","45.000,00","45.000,00","45.000,00","0,00",20,900.000,900.000
15,07/11/2024,"45.000,00","45.000,00","45.000,00","45.000,00","0,46",42,1.890.000,1.890.000
16,06/11/2024,"44.750,00","45.000,00","44.750,00","44.793,57","-0,25",23,1.030.252,1.030.252
17,05/11/2024,"45.000,00","45.000,00","44.750,00","44.907,11","0,40",90,4.041.640,4.041.640
18,04/11/2024,"44.750,00","44.880,00","44.700,00","44.727,80","-0,02",104,4.651.691,4.651.691
19,01/11/2024,"44.750,00","44.880,00","44.700,00","44.734,90","-0,35",51,2.281.480,2.281.480
20,31/10/2024,"44.890,00","44.890,00","44.890,00","44.890,00","-0,02",23,1.032.470,1.032.470
