,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,"7.100,00","7.100,00","7.100,00","7.100,00","0,00",19,134.900,134.900
1,27/11/2024,"7.100,00","7.100,00","7.100,00","7.100,00","0,00",100,710.000,710.000
2,26/11/2024,"7.100,00",,,"7.100,00","0,00",0,0,0
3,25/11/2024,"7.100,00","7.100,00","7.100,00","7.100,00","-0,14",10,71.000,71.000
4,22/11/2024,"7.110,00",,,"7.110,00","0,00",0,0,0
5,21/11/2024,"7.110,00","7.110,00","7.110,00","7.110,00","-0,21",5,35.550,35.550
6,20/11/2024,"7.125,00","7.125,00","7.125,00","7.125,00","-0,35",15,106.875,106.875
7,19/11/2024,"7.150,00","7.150,00","7.150,00","7.150,00","-0,77",15,107.250,107.250
8,18/11/2024,"7.250,00",,,"7.205,66","0,00",0,0,0
9,15/11/2024,"7.250,00","7.250,00","7.200,00","7.205,66","-0,25",53,381.900,381.900
10,14/11/2024,"7.250,00","7.250,00","7.200,00","7.223,39","0,32",62,447.850,447.850
11,13/11/2024,"7.200,00","7.200,00","7.200,00","7.200,00","2,86",57,410.400,410.400
12,12/11/2024,"7.000,00","7.000,00","7.000,00","7.000,00","-2,78",5,35.000,35.000
13,11/11/2024,"7.200,00",,,"7.200,00","0,00",0,0,0
14,08/11/2024,"7.200,00",,,"7.200,00","0,00",0,0,0
15,07/11/2024,"7.200,00",,,"7.200,00","0,00",0,0,0
16,06/11/2024,"7.200,00",,,"7.200,00","0,00",0,0,0
17,05/11/2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,88",10,72.000,72.000
18,04/11/2024,"7.285,00","7.285,00","7.100,00","7.137,00","-2,02",10,71.370,71.370
19,01/11/2024,"7.284,00","7.284,00","7.284,00","7.284,00","2,59",7,50.988,50.988
20,31/10/2024,"7.100,00",,,"7.100,00","0,00",0,0,0
21,30/10/2024,"7.100,00",,,"7.100,00","0,00",0,0,0
22,29/10/2024,"7.100,00",,,"7.100,00","0,00",0,0,0
23,28/10/2024,"7.100,00",,,"7.100,00","0,00",0,0,0
24,25/10/2024,"7.100,00",,,"7.100,00","0,00",0,0,0
25,24/10/2024,"7.100,00",,,"7.100,00","0,00",0,0,0
26,22/10/2024,"7.100,00",,,"7.100,00","0,00",0,0,0
27,21/10/2024,"7.100,00","7.100,00","7.100,00","7.100,00","-1,39",20,142.000,142.000
28,18/10/2024,"7.200,00",,,"7.200,00","0,00",0,0,0
29,17/10/2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",11,79.200,79.200
30,16/10/2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",130,936.000,936.000
31,15/10/2024,"7.200,00","7.200,00","7.200,00","7.200,00","-1,22",685,4.932.000,4.932.000
32,14/10/2024,"7.289,00",,,"7.289,00","0,00",0,0,0
33,10/10/2024,"7.289,00",,,"7.289,00","0,00",0,0,0
34,09/10/2024,"7.289,00",,,"7.289,00","0,00",0,0,0
35,08/10/2024,"7.289,00",,,"7.289,00","0,00",0,0,0
36,07/10/2024,"7.289,00",,,"7.289,00","0,00",0,0,0
37,04/10/2024,"7.289,00",,,"7.289,00","0,00",0,0,0
38,03/10/2024,"7.289,00",,,"7.289,00","0,00",0,0,0
39,02/10/2024,"7.289,00",,,"7.289,00","0,00",0,0,0
40,01/10/2024,"7.289,00","7.289,00","7.289,00","7.289,00","1,96",10,72.890,72.890
41,30/09/2024,"7.150,00","7.150,00","7.149,00","7.149,13","-0,71",287,2.051.800,2.051.800
42,27/09/2024,"7.200,00",,,"7.200,00","0,00",0,0,0
43,26/09/2024,"7.200,00","7.200,00","7.200,00","7.200,00","2,86",10,72.000,72.000
44,25/09/2024,"7.000,00","7.000,00","7.000,00","7.000,00","-0,30",53,371.000,371.000
45,24/09/2024,"7.000,00","7.030,00","7.000,00","7.020,91","-1,81",33,231.690,231.690
46,23/09/2024,"7.150,00",,,"7.150,00","0,00",0,0,0
47,20/09/2024,"7.150,00",,,"7.150,00","0,00",0,0,0
48,19/09/2024,"7.150,00","7.150,00","7.150,00","7.150,00","1,71",500,3.575.000,3.575.000
49,18/09/2024,"7.030,00","7.030,00","7.030,00","7.030,00","0,12",36,253.080,253.080
50,17/09/2024,"7.050,00",,,"7.021,43","0,00",0,0,0
