,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,1/17/2025,"30,798.00","30,799.00","30,389.00","30,562.83",0.58,439,"13,417,084","21,067,084"
1,1/16/2025,"30,389.00","30,400.00","30,377.00","30,385.81",1.22,519,"15,770,234","15,770,234"
2,1/15/2025,"30,198.00","30,200.00","29,830.00","30,020.99",0.63,656,"19,693,771","19,693,771"
3,1/14/2025,"29,897.00","29,899.00","29,799.00","29,833.73",0.25,226,"6,742,423","6,742,423"
4,1/13/2025,"29,897.00","29,905.00","29,700.00","29,758.70",0.15,398,"11,843,961","11,843,961"
5,1/10/2025,"29,725.00","29,899.00","29,401.00","29,712.74",1.69,309,"9,181,237","15,604,337"
6,1/9/2025,"29,300.00","29,300.00","29,187.00","29,218.12",0.77,373,"10,898,357","10,898,357"
7,1/8/2025,"29,000.00","29,199.00","28,800.00","28,994.56",0.28,321,"9,307,254","9,307,254"
8,1/3/2025,"29,000.00","29,000.00","28,800.00","28,913.41",1.43,232,"6,707,910","6,707,910"
9,1/2/2025,"28,800.00","28,800.00","28,490.00","28,506.33",0.23,60,"1,710,380","1,710,380"
10,12/30/2024,"28,301.00","28,497.00","28,300.00","28,440.34",0.54,182,"5,176,141","5,176,141"
11,12/27/2024,"28,297.00","28,300.00","28,200.00","28,287.40",0.08,531,"15,020,611","15,020,611"
12,12/26/2024,"28,249.00","28,498.00","28,200.00","28,265.78",0.23,"1,111","31,403,286","31,403,286"
13,12/25/2024,"28,197.00","28,299.00","28,150.00","28,202.31",0.22,794,"22,392,637","25,212,637"
14,12/24/2024,"28,100.00","28,399.00","28,099.00","28,141.77",-1.99,537,"15,112,133","15,112,133"
15,12/23/2024,"28,200.00","29,099.00","28,161.00","28,713.35",-1.10,358,"10,279,381","13,800,481"
16,12/20/2024,"28,801.00","29,200.00","28,801.00","29,031.95",0.51,686,"19,915,920","31,515,920"
17,12/19/2024,"29,000.00","29,000.00","28,800.00","28,885.01",3.69,516,"14,904,667","14,904,667"
18,12/18/2024,"28,299.00","28,300.00","27,499.00","27,857.02",2.54,349,"9,722,099","9,722,099"
19,12/17/2024,"27,250.00","27,250.00","27,000.00","27,166.47",0.66,334,"9,073,602","9,073,602"
20,12/16/2024,"27,000.00","27,000.00","26,983.00","26,988.32",-0.03,307,"8,285,413","8,285,413"
21,12/13/2024,"26,994.00","26,999.00","26,990.00","26,995.83",0.16,389,"10,501,377","10,501,377"
22,12/12/2024,"26,950.00","26,989.00","26,948.00","26,951.54",-0.09,358,"9,648,650","9,648,650"
23,12/11/2024,"26,995.00","27,000.00","26,898.00","26,975.61",0.56,361,"9,738,194","9,738,194"
24,12/10/2024,"26,750.00","26,990.00","26,500.00","26,824.55",-0.40,234,"6,276,945","6,276,945"
25,12/6/2024,"26,901.00","27,000.00","26,301.00","26,931.73",3.23,406,"10,934,281","10,934,281"
26,12/5/2024,"26,301.00","26,301.00","25,949.00","26,089.46",1.99,459,"11,975,062","24,602,622"
27,12/4/2024,"25,649.00","25,650.00","25,002.00","25,581.37",3.89,339,"8,672,085","8,672,085"
28,12/3/2024,"24,702.00","24,969.00","24,599.00","24,623.26",1.57,376,"9,258,344","9,258,344"
29,12/2/2024,"24,550.00","24,550.00","24,199.00","24,242.42",0.80,566,"13,721,208","13,721,208"
30,11/29/2024,"24,199.00","24,200.00","24,000.00","24,049.39",-0.20,343,"8,248,940","8,248,940"
31,11/28/2024,"24,100.00","24,100.00","24,000.00","24,098.49",0.52,467,"11,253,997","11,253,997"
32,11/27/2024,"24,000.00","24,099.00","23,801.00","23,972.74",0.27,473,"11,339,106","11,339,106"
33,11/26/2024,"23,890.00","24,180.00","23,500.00","23,909.28",-0.87,346,"8,272,610","8,272,610"
34,11/25/2024,"24,097.00","24,200.00","24,097.00","24,118.91",-0.51,"1,071","25,831,356","25,831,356"
35,11/22/2024,"24,200.00","24,300.00","24,200.00","24,242.93",-0.05,323,"7,830,466","7,830,466"
36,11/21/2024,"24,250.00","24,301.00","24,150.00","24,254.41",-0.50,185,"4,487,066","4,487,066"
37,11/20/2024,"24,330.00","24,400.00","24,300.00","24,376.47",0.06,455,"11,091,296","11,091,296"
