,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,1/17/2025,"9,500.00","9,500.00","9,500.00","9,500.00",4.40,15,"142,500","142,500"
1,1/16/2025,"9,100.00",,,"9,100.00",0.00,0,0,0
2,1/15/2025,"9,100.00",,,"9,100.00",0.00,0,0,0
3,1/14/2025,"9,100.00",,,"9,100.00",0.00,0,0,0
4,1/13/2025,"9,100.00","9,100.00","9,100.00","9,100.00",1.56,10,"91,000","91,000"
5,1/10/2025,"8,960.00","8,960.00","8,960.00","8,960.00",0.00,156,"1,397,760","1,397,760"
6,1/9/2025,"8,960.00",,,"8,960.00",0.00,0,0,0
7,1/8/2025,"8,960.00",,,"8,960.00",0.00,0,0,0
8,1/3/2025,"8,960.00","8,960.00","8,960.00","8,960.00",2.99,30,"268,800","268,800"
9,1/2/2025,"8,700.00","8,700.00","8,700.00","8,700.00",2.96,81,"704,700","704,700"
10,12/30/2024,"8,400.00",,,"8,450.00",0.00,0,0,"454,917,788"
11,12/27/2024,"8,400.00",,,"8,450.00",0.00,0,0,0
12,12/26/2024,"8,400.00",,,"8,450.00",0.00,0,0,0
13,12/25/2024,"8,400.00",,,"8,450.00",0.00,0,0,0
14,12/24/2024,"8,400.00",,,"8,450.00",0.00,0,0,0
15,12/23/2024,"8,400.00","8,850.00","8,400.00","8,450.00",-4.89,54,"456,300","166,506,300"
16,12/20/2024,"8,870.00",,,"8,884.55",0.00,0,0,0
17,12/19/2024,"8,870.00",,,"8,884.55",0.00,0,0,0
18,12/18/2024,"8,870.00",,,"8,884.55",0.00,0,0,0
19,12/17/2024,"8,870.00",,,"8,884.55",0.00,0,0,0
20,12/16/2024,"8,870.00",,,"8,884.55",0.00,0,0,0
21,12/13/2024,"8,870.00","8,890.00","8,870.00","8,884.55",-9.85,11,"97,730","97,730"
22,12/12/2024,"9,855.00",,,"9,855.00",0.00,0,0,0
23,12/11/2024,"9,855.00",,,"9,855.00",0.00,0,0,0
24,12/10/2024,"9,855.00",,,"9,855.00",0.00,0,0,0
25,12/6/2024,"9,855.00",,,"9,855.00",0.00,0,0,0
26,12/5/2024,"9,855.00",,,"9,855.00",0.00,0,0,0
27,12/4/2024,"9,855.00","9,855.00","9,855.00","9,855.00",-10.00,700,"6,898,500","6,898,500"
28,12/3/2024,"10,950.00","10,950.00","10,950.00","10,950.00",9.99,210,"2,299,500","55,497,750"
29,12/2/2024,"9,955.00","9,955.00","9,955.00","9,955.00",10.00,589,"5,863,495","619,978,869"
30,11/29/2024,"9,050.00","9,050.00","9,050.00","9,050.00",9.99,"2,835","25,656,750","119,352,958"
31,11/28/2024,"8,228.00","8,228.00","8,228.00","8,228.00",9.99,"2,347","19,311,116","19,311,116"
32,11/27/2024,"7,500.00","7,500.00","7,400.00","7,480.39",0.76,879,"6,575,260","12,156,840"
33,11/26/2024,"7,400.00","7,550.00","7,300.00","7,423.88",-3.57,160,"1,187,820","1,187,820"
34,11/25/2024,"7,699.00","7,699.00","7,699.00","7,699.00",0.00,78,"600,522","600,522"
35,11/22/2024,"7,699.00",,,"7,699.00",0.00,0,0,0
36,11/21/2024,"7,699.00",,,"7,699.00",0.00,0,0,0
37,11/20/2024,"7,699.00","7,699.00","7,699.00","7,699.00",1.58,781,"6,012,919","6,012,919"
