,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,1/17/2025,"3,900.00","3,900.00","3,900.00","3,900.00",1.01,50,"195,000","195,000"
1,1/16/2025,"3,861.00",,,"3,861.00",0.00,0,0,0
2,1/15/2025,"3,861.00","3,861.00","3,861.00","3,861.00",1.21,132,"509,652","509,652"
3,1/14/2025,"3,815.00",,,"3,815.00",0.00,0,0,0
4,1/13/2025,"3,815.00",,,"3,815.00",0.00,0,0,0
5,1/10/2025,"3,815.00",,,"3,815.00",0.00,0,0,0
6,1/9/2025,"3,815.00",,,"3,815.00",0.00,0,0,0
7,1/8/2025,"3,815.00",,,"3,815.00",0.00,0,0,0
8,1/3/2025,"3,815.00","3,815.00","3,815.00","3,815.00",0.37,100,"381,500","381,500"
9,1/2/2025,"3,801.00",,,"3,801.00",0.00,0,0,0
10,12/30/2024,"3,801.00",,,"3,801.00",0.00,0,0,0
11,12/27/2024,"3,801.00",,,"3,801.00",0.00,0,0,0
12,12/26/2024,"3,801.00",,,"3,801.00",0.00,0,0,0
13,12/25/2024,"3,801.00",,,"3,801.00",0.00,0,0,0
14,12/24/2024,"3,801.00",,,"3,801.00",0.00,0,0,0
15,12/23/2024,"3,801.00","3,801.00","3,801.00","3,801.00",-3.77,100,"380,100","380,100"
16,12/20/2024,"3,950.00","3,950.00","3,950.00","3,950.00",2.57,89,"351,550","351,550"
17,12/19/2024,"3,851.00",,,"3,851.00",0.00,0,0,0
18,12/18/2024,"3,851.00","3,851.00","3,851.00","3,851.00",-1.26,16,"61,616","61,616"
19,12/17/2024,"3,900.00","3,900.00","3,900.00","3,900.00",1.19,20,"78,000","78,000"
20,12/16/2024,"3,868.00",,,"3,854.00",0.00,0,0,0
21,12/13/2024,"3,868.00",,,"3,854.00",0.00,0,0,0
22,12/12/2024,"3,868.00",,,"3,854.00",0.00,0,0,0
23,12/11/2024,"3,868.00","3,868.00","3,840.00","3,854.00",2.62,100,"385,400","385,400"
24,12/10/2024,"3,800.00",,,"3,755.73",0.00,0,0,0
25,12/6/2024,"3,800.00","3,800.00","3,751.00","3,755.73",1.37,207,"777,437","777,437"
26,12/5/2024,"3,705.00",,,"3,705.00",0.00,0,0,0
27,12/4/2024,"3,705.00","3,705.00","3,705.00","3,705.00",0.07,150,"555,750","555,750"
28,12/3/2024,"3,702.00",,,"3,702.36",0.00,0,0,0
29,12/2/2024,"3,702.00",,,"3,702.36",0.00,0,0,0
30,11/29/2024,"3,702.00",,,"3,702.36",0.00,0,0,0
31,11/28/2024,"3,702.00",,,"3,702.36",0.00,0,0,0
32,11/27/2024,"3,702.00",,,"3,702.36",0.00,0,0,0
33,11/26/2024,"3,702.00",,,"3,702.36",0.00,0,0,0
34,11/25/2024,"3,702.00","3,703.00","3,702.00","3,702.36",-0.02,200,"740,471","740,471"
35,11/22/2024,"3,703.00","3,703.00","3,703.00","3,703.00",-0.03,4,"14,812","14,812"
36,11/21/2024,"3,704.00","3,704.00","3,704.00","3,704.00",0.05,66,"244,464","244,464"
37,11/20/2024,"3,702.00",,,"3,702.30",0.00,0,0,0
