,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,1/17/2025,"2,800.00","2,859.00","2,790.00","2,812.55",-1.59,238,"669,387","669,387"
1,1/16/2025,"2,850.00","2,890.00","2,850.00","2,857.98",-1.42,401,"1,146,050","1,146,050"
2,1/15/2025,"2,899.00","2,900.00","2,898.00","2,899.03",-1.42,176,"510,229","510,229"
3,1/14/2025,"2,930.00",,,"2,940.90",0.00,0,0,0
4,1/13/2025,"2,930.00","2,948.00","2,930.00","2,940.90",0.09,179,"526,421","526,421"
5,1/10/2025,"2,945.00","2,949.00","2,900.00","2,938.11",0.57,"1,509","4,433,610","4,433,610"
6,1/9/2025,"2,900.00","2,950.00","2,900.00","2,921.45",1.13,"1,249","3,648,886","6,598,886"
7,1/8/2025,"2,859.00","2,948.00","2,859.00","2,888.92",-3.30,518,"1,496,458","1,496,458"
8,1/3/2025,"2,985.00","2,990.00","2,985.00","2,987.37",-0.05,"1,216","3,632,639","3,632,639"
9,1/2/2025,"2,990.00","3,000.00","2,985.00","2,988.92",0.52,553,"1,652,870","1,652,870"
10,12/30/2024,"2,960.00","2,984.00","2,930.00","2,973.47",2.49,"1,498","4,454,265","4,454,265"
11,12/27/2024,"2,925.00","2,950.00","2,825.00","2,901.18",5.75,"6,208","18,010,543","18,010,543"
12,12/26/2024,"2,790.00","2,799.00","2,650.00","2,743.44",4.63,"4,978","13,656,850","13,656,850"
13,12/25/2024,"2,650.00","2,650.00","2,590.00","2,622.06",3.69,"1,410","3,697,100","3,697,100"
14,12/24/2024,"2,550.00","2,550.00","2,500.00","2,528.84",1.72,"1,183","2,991,619","2,991,619"
15,12/23/2024,"2,500.00","2,500.00","2,469.00","2,486.19",3.32,"2,175","5,407,453","5,407,453"
16,12/20/2024,"2,440.00","2,450.00","2,400.00","2,406.30",0.65,"1,295","3,116,162","3,116,162"
17,12/19/2024,"2,400.00","2,401.00","2,377.00","2,390.83",0.58,960,"2,295,198","2,295,198"
18,12/18/2024,"2,377.00","2,378.00","2,375.00","2,376.93",2.93,305,"724,965","724,965"
19,12/17/2024,"2,320.00","2,320.00","2,290.00","2,309.26",0.01,677,"1,563,370","1,563,370"
20,12/16/2024,"2,300.00","2,340.00","2,300.00","2,309.03",-0.40,440,"1,015,975","1,015,975"
21,12/13/2024,"2,300.00","2,330.00","2,300.00","2,318.23",2.80,453,"1,050,160","1,050,160"
22,12/12/2024,"2,276.00","2,276.00","2,212.00","2,255.14",2.04,794,"1,790,583","1,790,583"
23,12/11/2024,"2,210.00","2,210.00","2,210.00","2,210.00",0.45,"1,350","2,983,500","2,983,500"
24,12/10/2024,"2,200.00","2,200.00","2,200.00","2,200.00",0.24,390,"858,000","858,000"
25,12/6/2024,"2,200.00","2,279.00","2,150.00","2,194.76",0.28,524,"1,150,053","1,150,053"
26,12/5/2024,"2,180.00","2,200.00","2,150.00","2,188.70",1.73,270,"590,950","590,950"
27,12/4/2024,"2,150.00","2,169.00","2,149.00","2,151.55",2.15,265,"570,161","570,161"
28,12/3/2024,"2,136.00","2,136.00","2,101.00","2,106.19",0.29,104,"219,044","219,044"
29,12/2/2024,"2,100.00","2,100.00","2,100.00","2,100.00",0.00,276,"579,600","579,600"
30,11/29/2024,"2,100.00","2,100.00","2,100.00","2,100.00",-0.71,27,"56,700","56,700"
31,11/28/2024,"2,115.00","2,115.00","2,115.00","2,115.00",-0.67,10,"21,150","21,150"
32,11/27/2024,"2,130.00","2,130.00","2,129.00","2,129.23",0.12,130,"276,800","276,800"
33,11/26/2024,"2,120.00","2,132.00","2,120.00","2,126.77",-0.29,288,"612,509","612,509"
34,11/25/2024,"2,133.00","2,133.00","2,130.00","2,132.85",2.98,402,"857,406","857,406"
35,11/22/2024,"2,050.00","2,124.00","2,050.00","2,071.14",-0.81,70,"144,980","144,980"
36,11/21/2024,"2,088.00",,,"2,088.00",0.00,0,0,0
37,11/20/2024,"2,088.00","2,088.00","2,088.00","2,088.00",0.78,10,"20,880","20,880"
