,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,1/17/2025,421.00,421.00,400.00,403.45,-1.52,"3,283","1,324,534","1,324,534"
1,1/16/2025,410.00,410.00,408.00,409.67,0.04,666,"272,840","272,840"
2,1/15/2025,409.00,410.00,409.00,409.50,-0.12,400,"163,800","163,800"
3,1/14/2025,410.00,410.00,410.00,410.00,0.22,830,"340,300","340,300"
4,1/13/2025,410.00,410.00,407.00,409.08,-0.01,199,"81,407","81,407"
5,1/10/2025,410.00,410.00,407.00,409.14,1.26,"1,323","541,290","541,290"
6,1/9/2025,404.00,412.00,401.00,404.03,1.01,"2,429","981,382","981,382"
7,1/8/2025,400.00,,,400.00,0.00,0,0,0
8,1/3/2025,400.00,,,400.00,0.00,0,0,0
9,1/2/2025,400.00,,,400.00,0.00,0,0,0
10,12/30/2024,400.00,400.00,400.00,400.00,0.00,950,"380,000","380,000"
11,12/27/2024,400.00,400.00,400.00,400.00,0.00,"9,000","3,600,000","5,600,000"
12,12/26/2024,400.00,400.00,400.00,400.00,0.50,"2,423","969,200","2,969,200"
13,12/25/2024,398.00,398.00,398.00,398.00,-0.50,272,"108,256","6,108,256"
14,12/24/2024,400.00,400.00,400.00,400.00,0.00,"1,204","481,600","2,881,600"
15,12/23/2024,400.00,400.00,400.00,400.00,0.20,793,"317,200","317,200"
16,12/20/2024,400.00,400.00,395.00,399.19,-0.20,"3,570","1,425,100","1,425,100"
17,12/19/2024,400.00,405.00,400.00,400.01,0.00,"2,470","988,025","988,025"
18,12/18/2024,400.00,400.00,400.00,400.00,0.00,"4,370","1,748,000","1,748,000"
19,12/17/2024,400.00,,,400.00,0.00,0,0,0
20,12/16/2024,400.00,400.00,400.00,400.00,0.00,"6,178","2,471,200","2,471,200"
21,12/13/2024,400.00,400.00,400.00,400.00,-0.04,"2,360","944,000","944,000"
22,12/12/2024,400.00,405.00,400.00,400.17,0.04,"4,104","1,642,305","1,642,305"
23,12/11/2024,400.00,400.00,400.00,400.00,-0.20,"1,055","422,000","422,000"
24,12/10/2024,400.00,401.00,400.00,400.82,0.17,"1,847","740,317","740,317"
25,12/6/2024,400.00,401.00,400.00,400.14,0.01,"8,017","3,207,897","3,207,897"
26,12/5/2024,400.00,405.00,400.00,400.10,0.02,"2,105","842,200","842,200"
27,12/4/2024,400.00,400.00,400.00,400.00,-0.07,800,"320,000","320,000"
28,12/3/2024,400.00,401.00,400.00,400.30,0.07,"9,319","3,730,380","3,730,380"
29,12/2/2024,400.00,401.00,400.00,400.03,-0.01,"1,146","458,440","458,440"
30,11/29/2024,405.00,405.00,400.00,400.06,-0.03,"1,790","716,100","716,100"
31,11/28/2024,400.00,404.00,400.00,400.18,-0.90,912,"364,968","364,968"
32,11/27/2024,403.00,404.00,403.00,403.80,-0.45,"1,250","504,750","504,750"
33,11/26/2024,406.00,406.00,403.00,405.64,0.16,"1,234","500,554","500,554"
34,11/25/2024,405.00,405.00,405.00,405.00,0.00,361,"146,205","146,205"
35,11/22/2024,405.00,405.00,405.00,405.00,-0.36,47,"19,035","19,035"
36,11/21/2024,405.00,409.00,405.00,406.45,0.03,"1,809","735,272","735,272"
37,11/20/2024,405.00,409.00,405.00,406.33,0.26,450,"182,850","182,850"
