,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,1/17/2025,"2,780.00","2,780.00","2,780.00","2,780.00",0.00,10,"27,800","27,800"
1,1/16/2025,"2,780.00","2,780.00","2,780.00","2,780.00",-0.54,30,"83,400","83,400"
2,1/15/2025,"2,795.00","2,795.00","2,795.00","2,795.00",-0.14,50,"139,750","139,750"
3,1/14/2025,"2,799.00","2,799.00","2,799.00","2,799.00",-1.79,50,"139,950","139,950"
4,1/13/2025,"2,850.00",,,"2,850.00",0.00,0,0,0
5,1/10/2025,"2,850.00",,,"2,850.00",0.00,0,0,0
6,1/9/2025,"2,850.00",,,"2,850.00",0.00,0,0,0
7,1/8/2025,"2,850.00",,,"2,850.00",0.00,0,0,0
8,1/3/2025,"2,850.00",,,"2,850.00",0.00,0,0,0
9,1/2/2025,"2,850.00",,,"2,850.00",0.00,0,0,0
10,12/30/2024,"2,850.00",,,"2,850.00",0.00,0,0,0
11,12/27/2024,"2,850.00",,,"2,850.00",0.00,0,0,0
12,12/26/2024,"2,850.00",,,"2,850.00",0.00,0,0,0
13,12/25/2024,"2,850.00",,,"2,850.00",0.00,0,0,0
14,12/24/2024,"2,850.00","2,850.00","2,850.00","2,850.00",1.79,11,"31,350","31,350"
15,12/23/2024,"2,800.00","2,800.00","2,800.00","2,800.00",-0.46,50,"140,000","140,000"
16,12/20/2024,"2,813.00","2,813.00","2,813.00","2,813.00",0.00,53,"149,089","149,089"
17,12/19/2024,"2,813.00","2,813.00","2,813.00","2,813.00",-3.00,30,"84,390","84,390"
18,12/18/2024,"2,900.00",,,"2,900.00",0.00,0,0,0
19,12/17/2024,"2,900.00",,,"2,900.00",0.00,0,0,0
20,12/16/2024,"2,900.00",,,"2,900.00",0.00,0,0,0
21,12/13/2024,"2,900.00",,,"2,900.00",0.00,0,0,0
22,12/12/2024,"2,900.00",,,"2,900.00",0.00,0,0,0
23,12/11/2024,"2,900.00",,,"2,900.00",0.00,0,0,"7,168,800"
24,12/10/2024,"2,900.00",,,"2,900.00",0.00,0,0,0
25,12/6/2024,"2,900.00",,,"2,900.00",0.00,0,0,0
26,12/5/2024,"2,900.00",,,"2,900.00",0.00,0,0,"14,236,042"
27,12/4/2024,"2,900.00",,,"2,900.00",0.00,0,0,0
28,12/3/2024,"2,900.00",,,"2,900.00",0.00,0,0,0
29,12/2/2024,"2,900.00",,,"2,900.00",0.00,0,0,0
30,11/29/2024,"2,900.00",,,"2,900.00",0.00,0,0,0
31,11/28/2024,"2,900.00",,,"2,900.00",0.00,0,0,0
32,11/27/2024,"2,900.00",,,"2,900.00",0.00,0,0,0
33,11/26/2024,"2,900.00","2,900.00","2,900.00","2,900.00",6.95,4,"11,600","11,600"
34,11/25/2024,"2,715.00","2,715.00","2,700.00","2,711.55",2.32,87,"235,905","235,905"
35,11/22/2024,"2,650.00",,,"2,650.00",0.00,0,0,0
36,11/21/2024,"2,650.00",,,"2,650.00",0.00,0,0,0
37,11/20/2024,"2,650.00",,,"2,650.00",0.00,0,0,0
