,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,1/17/2025,"59,600.00","59,999.00","59,600.00","59,983.65",1.60,26,"1,559,575","1,559,575"
1,1/16/2025,"59,500.00","59,500.00","59,000.00","59,041.67",0.93,12,"708,500","708,500"
2,1/15/2025,"58,500.00","58,500.00","58,500.00","58,500.00",0.33,26,"1,521,000","1,521,000"
3,1/14/2025,"58,400.00","58,400.00","58,299.00","58,307.85",-0.01,62,"3,615,087","3,615,087"
4,1/13/2025,"58,400.00","58,500.00","58,200.00","58,312.30",-0.30,61,"3,557,050","3,557,050"
5,1/10/2025,"58,485.00","58,500.00","58,484.00","58,488.44",0.60,71,"4,152,679","4,152,679"
6,1/9/2025,"57,998.00","58,196.00","57,998.00","58,139.43",2.90,7,"406,976","406,976"
7,1/8/2025,"56,501.00","56,501.00","56,501.00","56,501.00",0.18,5,"282,505","282,505"
8,1/3/2025,"56,400.00","56,400.00","56,400.00","56,400.00",0.42,4,"225,600","225,600"
9,1/2/2025,"56,001.00",,,"56,162.27",0.00,0,0,0
10,12/30/2024,"56,001.00","57,000.00","56,001.00","56,162.27",-0.51,62,"3,482,061","3,482,061"
11,12/27/2024,"56,450.00","56,450.00","56,449.00","56,449.92",0.80,12,"677,399","677,399"
12,12/26/2024,"56,001.00","56,001.00","56,000.00","56,000.27",-0.88,15,"840,004","840,004"
13,12/25/2024,"56,500.00","56,500.00","56,500.00","56,500.00",0.27,6,"339,000","339,000"
14,12/24/2024,"56,495.00","56,499.00","56,000.00","56,349.82",-0.26,44,"2,479,392","2,479,392"
15,12/23/2024,"56,499.00","56,499.00","56,499.00","56,499.00",0.23,5,"282,495","282,495"
16,12/20/2024,"56,000.00","56,500.00","56,000.00","56,367.72",-0.27,134,"7,553,274","7,553,274"
17,12/19/2024,"56,500.00","57,500.00","56,499.00","56,519.21",0.93,135,"7,630,094","7,630,094"
18,12/18/2024,"55,999.00","56,000.00","55,998.00","55,998.98",0.00,42,"2,351,957","2,351,957"
19,12/17/2024,"55,997.00","56,000.00","55,996.00","55,998.19",-0.75,32,"1,791,942","1,791,942"
20,12/16/2024,"56,000.00","57,000.00","56,000.00","56,420.04",-1.02,90,"5,077,804","5,077,804"
21,12/13/2024,"57,000.00","57,000.00","56,999.00","56,999.80",2.70,60,"3,419,988","3,419,988"
22,12/12/2024,"55,500.00","55,500.00","55,500.00","55,500.00",1.77,5,"277,500","277,500"
23,12/11/2024,"54,450.00","56,000.00","54,400.00","54,534.85",0.01,33,"1,799,650","1,799,650"
24,12/10/2024,"54,500.00","55,000.00","54,500.00","54,531.25",0.88,16,"872,500","872,500"
25,12/6/2024,"54,500.00","54,660.00","53,700.00","54,055.61",3.57,23,"1,243,279","1,243,279"
26,12/5/2024,"52,500.00","52,500.00","52,000.00","52,194.28",2.32,18,"939,497","939,497"
27,12/4/2024,"51,100.00","51,500.00","50,500.00","51,013.06",1.23,31,"1,581,405","1,581,405"
28,12/3/2024,"50,500.00","50,500.00","50,000.00","50,391.30",1.40,23,"1,159,000","1,159,000"
29,12/2/2024,"50,100.00","50,100.00","49,499.00","49,694.11",0.89,35,"1,739,294","1,739,294"
30,11/29/2024,"49,300.00","50,029.00","48,900.00","49,254.40",1.40,15,"738,816","738,816"
31,11/28/2024,"48,550.00","48,600.00","48,550.00","48,572.22",-0.22,18,"874,300","874,300"
32,11/27/2024,"48,670.00","48,700.00","48,670.00","48,677.89",-0.37,19,"924,880","924,880"
33,11/26/2024,"48,900.00","48,900.00","48,800.00","48,860.13",-0.08,15,"732,902","732,902"
34,11/25/2024,"48,900.00","48,900.00","48,900.00","48,900.00",-0.20,15,"733,500","733,500"
35,11/22/2024,"48,989.00","49,000.00","48,989.00","48,998.23",0.00,31,"1,518,945","1,518,945"
36,11/21/2024,"49,000.00","49,000.00","49,000.00","49,000.00",-0.06,14,"686,000","686,000"
37,11/20/2024,"49,000.00","49,101.00","49,000.00","49,028.28",-0.12,46,"2,255,301","2,255,301"
