,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,1/17/2025,"7,050.00",,,"7,050.00",0.00,0,0,0
1,1/16/2025,"7,050.00","7,050.00","7,050.00","7,050.00",0.71,20,"141,000","141,000"
2,1/15/2025,"7,000.00",,,"7,000.00",0.00,0,0,0
3,1/14/2025,"7,000.00","7,000.00","7,000.00","7,000.00",-0.71,7,"49,000","49,000"
4,1/13/2025,"7,050.00",,,"7,050.00",0.00,0,0,0
5,1/10/2025,"7,050.00","7,050.00","7,050.00","7,050.00",0.52,1,"7,050","7,050"
6,1/9/2025,"7,050.00","7,050.00","7,000.00","7,013.63",0.90,27,"189,368","189,368"
7,1/8/2025,"6,951.00","6,951.00","6,951.00","6,951.00",-2.00,50,"347,550","347,550"
8,1/3/2025,"7,200.00",,,"7,092.86",0.00,0,0,0
9,1/2/2025,"7,200.00",,,"7,092.86",0.00,0,0,0
10,12/30/2024,"7,200.00","7,200.00","7,000.00","7,092.86",-0.64,56,"397,200","397,200"
11,12/27/2024,"7,150.00","7,150.00","7,000.00","7,138.89",-0.16,27,"192,750","192,750"
12,12/26/2024,"7,150.00","7,150.00","7,150.00","7,150.00",0.00,49,"350,350","350,350"
13,12/25/2024,"7,150.00","7,150.00","7,150.00","7,150.00",0.46,25,"178,750","178,750"
14,12/24/2024,"7,200.00","7,200.00","7,110.00","7,116.92",0.24,13,"92,520","92,520"
15,12/23/2024,"7,100.00","7,100.00","7,100.00","7,100.00",-1.39,10,"71,000","71,000"
16,12/20/2024,"7,200.00",,,"7,200.00",0.00,0,0,0
17,12/19/2024,"7,200.00","7,200.00","7,200.00","7,200.00",-2.03,47,"338,400","338,400"
18,12/18/2024,"7,349.00",,,"7,349.00",0.00,0,0,0
19,12/17/2024,"7,349.00",,,"7,349.00",0.00,0,0,0
20,12/16/2024,"7,349.00",,,"7,349.00",0.00,0,0,0
21,12/13/2024,"7,349.00","7,349.00","7,349.00","7,349.00",0.00,5,"36,745","36,745"
22,12/12/2024,"7,349.00",,,"7,349.00",0.00,0,0,0
23,12/11/2024,"7,349.00","7,349.00","7,349.00","7,349.00",0.00,25,"183,725","183,725"
24,12/10/2024,"7,349.00","7,349.00","7,349.00","7,349.00",0.05,39,"286,611","286,611"
25,12/6/2024,"7,349.00","7,350.00","7,200.00","7,345.18",2.37,"1,051","7,719,786","7,719,786"
26,12/5/2024,"7,200.00","7,200.00","7,150.00","7,175.00",1.06,40,"287,000","287,000"
27,12/4/2024,"7,100.00",,,"7,100.00",0.00,0,0,0
28,12/3/2024,"7,100.00",,,"7,100.00",0.00,0,0,0
29,12/2/2024,"7,100.00","7,100.00","7,100.00","7,100.00",0.00,20,"142,000","142,000"
30,11/29/2024,"7,100.00",,,"7,100.00",0.00,0,0,0
31,11/28/2024,"7,100.00","7,100.00","7,100.00","7,100.00",0.00,19,"134,900","134,900"
32,11/27/2024,"7,100.00","7,100.00","7,100.00","7,100.00",0.00,100,"710,000","710,000"
33,11/26/2024,"7,100.00",,,"7,100.00",0.00,0,0,0
34,11/25/2024,"7,100.00","7,100.00","7,100.00","7,100.00",-0.14,10,"71,000","71,000"
35,11/22/2024,"7,110.00",,,"7,110.00",0.00,0,0,0
36,11/21/2024,"7,110.00","7,110.00","7,110.00","7,110.00",-0.21,5,"35,550","35,550"
37,11/20/2024,"7,125.00","7,125.00","7,125.00","7,125.00",-0.35,15,"106,875","106,875"
