,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,1/17/2025,"31,099.00","31,099.00","30,400.00","30,799.74",2.71,722,"22,237,409","22,237,409"
1,1/16/2025,"30,200.00","30,500.00","29,601.00","29,987.45",2.38,863,"25,879,169","25,879,169"
2,1/15/2025,"29,700.00","29,700.00","29,190.00","29,289.05",1.89,821,"24,046,309","24,046,309"
3,1/14/2025,"29,200.00","29,200.00","28,700.00","28,744.90",0.51,788,"22,650,980","22,650,980"
4,1/13/2025,"28,600.00","28,600.00","28,557.00","28,598.78",0.01,733,"20,962,906","20,962,906"
5,1/10/2025,"28,600.00","29,000.00","28,550.00","28,596.28",0.40,"1,318","37,689,897","44,814,897"
6,1/9/2025,"28,513.00","28,999.00","28,400.00","28,481.61",0.49,764,"21,759,950","21,759,950"
7,1/8/2025,"28,400.00","28,400.00","28,300.00","28,342.55",0.18,47,"1,332,100","1,332,100"
8,1/3/2025,"28,300.00","28,300.00","28,285.00","28,291.11",0.02,329,"9,307,775","9,307,775"
9,1/2/2025,"28,300.00","28,300.00","28,250.00","28,286.00",0.13,361,"10,211,245","10,211,245"
10,12/30/2024,"28,250.00","28,250.00","28,250.00","28,250.00",-0.16,180,"5,085,000","5,085,000"
11,12/27/2024,"28,299.00","28,300.00","28,290.00","28,295.92",-0.03,523,"14,798,767","14,798,767"
12,12/26/2024,"28,299.00","28,311.00","28,200.00","28,303.56",0.00,650,"18,397,312","18,397,312"
13,12/25/2024,"28,310.00","28,500.00","28,300.00","28,303.43",0.08,582,"16,472,599","16,472,599"
14,12/24/2024,"28,350.00","28,350.00","28,200.00","28,280.90",-0.11,460,"13,009,214","13,009,214"
15,12/23/2024,"28,300.00","28,360.00","28,050.00","28,312.51",-0.19,203,"5,747,440","5,747,440"
16,12/20/2024,"28,350.00","28,520.00","28,349.00","28,366.49",0.09,683,"19,374,315","19,374,315"
17,12/19/2024,"28,250.00","29,000.00","28,250.00","28,342.11",0.36,503,"14,256,081","14,256,081"
18,12/18/2024,"28,251.00","28,251.00","28,200.00","28,241.78",-0.01,484,"13,669,020","13,669,020"
19,12/17/2024,"28,250.00","28,250.00","28,230.00","28,244.91",0.11,369,"10,422,370","10,422,370"
20,12/16/2024,"28,250.00","28,250.00","28,198.00","28,213.17",0.37,580,"16,363,637","16,363,637"
21,12/13/2024,"28,150.00","28,200.00","28,100.00","28,110.06",0.29,300,"8,433,017","8,433,017"
22,12/12/2024,"28,001.00","28,100.00","27,950.00","28,030.17",0.60,822,"23,040,796","23,040,796"
23,12/11/2024,"27,979.00","27,980.00","27,800.00","27,863.62",0.02,629,"17,526,215","17,526,215"
24,12/10/2024,"27,850.00","27,992.00","27,800.00","27,859.13",-0.47,103,"2,869,490","2,869,490"
25,12/6/2024,"27,994.00","28,200.00","27,500.00","27,991.95",4.82,205,"5,738,350","5,738,350"
26,12/5/2024,"27,499.00","27,499.00","26,200.00","26,704.83",4.60,358,"9,560,330","9,560,330"
27,12/4/2024,"25,900.00","25,900.00","25,402.00","25,529.34",0.45,242,"6,178,100","6,178,100"
28,12/3/2024,"25,550.00","25,550.00","25,379.00","25,415.78",0.14,258,"6,557,272","6,557,272"
29,12/2/2024,"25,400.00","25,499.00","25,300.00","25,379.05",0.20,286,"7,258,407","7,258,407"
30,11/29/2024,"25,300.00","25,370.00","25,300.00","25,327.56",0.32,465,"11,777,315","11,777,315"
31,11/28/2024,"25,290.00","25,290.00","25,215.00","25,247.73",0.11,306,"7,725,805","7,725,805"
32,11/27/2024,"25,244.00","25,250.00","25,200.00","25,219.04",0.06,193,"4,867,275","4,867,275"
33,11/26/2024,"25,205.00","25,205.00","25,200.00","25,202.82",-0.06,333,"8,392,540","8,392,540"
34,11/25/2024,"25,200.00","25,300.00","25,150.00","25,218.05",0.18,577,"14,550,816","14,550,816"
35,11/22/2024,"25,100.00","25,200.00","25,100.00","25,172.12",-0.10,286,"7,199,226","7,199,226"
36,11/21/2024,"25,190.00","25,200.00","25,190.00","25,198.46",0.15,209,"5,266,479","5,266,479"
37,11/20/2024,"25,198.00","25,300.00","25,000.00","25,159.51",0.45,552,"13,888,050","13,888,050"
