,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,1/17/2025,"1,957.00","1,957.00","1,860.00","1,905.59",0.29,445,"847,989","847,989"
1,1/16/2025,"1,900.00","1,900.00","1,900.00","1,900.00",2.65,20,"38,000","38,000"
2,1/15/2025,"1,851.00","1,860.00","1,850.00","1,850.90",0.05,"1,242","2,298,820","2,298,820"
3,1/14/2025,"1,850.00","1,850.00","1,850.00","1,850.00",-0.54,69,"127,650","127,650"
4,1/13/2025,"1,860.00","1,860.00","1,860.00","1,860.00",0.00,200,"372,000","372,000"
5,1/10/2025,"1,860.00","1,860.00","1,860.00","1,860.00",-2.06,"1,000","1,860,000","7,440,000"
6,1/9/2025,"1,899.00","1,900.00","1,899.00","1,899.12",2.66,26,"49,377","49,377"
7,1/8/2025,"1,850.00","1,850.00","1,850.00","1,850.00",-0.01,200,"370,000","370,000"
8,1/3/2025,"1,900.00","1,900.00","1,850.00","1,850.12",-0.48,401,"741,900","741,900"
9,1/2/2025,"1,859.00","1,859.00","1,859.00","1,859.00",0.00,97,"180,323","180,323"
10,12/30/2024,"1,859.00","1,859.00","1,859.00","1,859.00",2.99,3,"5,577","5,577"
11,12/27/2024,"1,810.00","1,810.00","1,790.00","1,804.95",0.53,960,"1,732,750","1,732,750"
12,12/26/2024,"1,790.00",,,"1,795.45",0.00,0,0,0
13,12/25/2024,"1,790.00","1,800.00","1,790.00","1,795.45",1.06,11,"19,750","19,750"
14,12/24/2024,"1,800.00","1,800.00","1,760.00","1,776.67",-1.30,72,"127,920","127,920"
15,12/23/2024,"1,800.00",,,"1,800.00",0.00,0,0,0
16,12/20/2024,"1,800.00","1,800.00","1,800.00","1,800.00",2.77,50,"90,000","6,827,500"
17,12/19/2024,"1,800.00","1,800.00","1,751.00","1,751.50",-1.05,293,"513,190","513,190"
18,12/18/2024,"1,770.00","1,770.00","1,770.00","1,770.00",2.27,50,"88,500","88,500"
19,12/17/2024,"1,731.00","1,731.00","1,730.00","1,730.66",-2.23,151,"261,330","261,330"
20,12/16/2024,"1,772.00","1,772.00","1,755.00","1,770.05",0.56,131,"231,877","231,877"
21,12/13/2024,"1,772.00","1,772.00","1,760.00","1,760.20",2.28,357,"628,392","628,392"
22,12/12/2024,"1,721.00","1,721.00","1,721.00","1,721.00",0.30,200,"344,200","344,200"
23,12/11/2024,"1,716.00","1,716.00","1,711.00","1,715.91",-1.01,"6,880","11,805,485","11,805,485"
24,12/10/2024,"1,755.00","1,755.00","1,720.00","1,733.46",1.97,65,"112,675","112,675"
25,12/6/2024,"1,700.00","1,700.00","1,700.00","1,700.00",0.63,120,"204,000","204,000"
26,12/5/2024,"1,690.00","1,690.00","1,680.00","1,689.29",2.38,140,"236,500","236,500"
27,12/4/2024,"1,650.00","1,650.00","1,650.00","1,650.00",-1.20,50,"82,500","82,500"
28,12/3/2024,"1,670.00",,,"1,670.00",0.00,0,0,0
29,12/2/2024,"1,670.00","1,670.00","1,670.00","1,670.00",0.00,99,"165,330","165,330"
30,11/29/2024,"1,670.00","1,670.00","1,670.00","1,670.00",1.21,1,"1,670","1,670"
31,11/28/2024,"1,650.00","1,650.00","1,650.00","1,650.00",-0.06,590,"973,500","973,500"
32,11/27/2024,"1,651.00","1,651.00","1,651.00","1,651.00",-1.18,219,"361,569","361,569"
33,11/26/2024,"1,680.00","1,680.00","1,660.00","1,670.63",-0.01,495,"826,960","4,126,960"
34,11/25/2024,"1,660.00","1,679.00","1,660.00","1,670.86",2.44,70,"116,960","116,960"
35,11/22/2024,"1,631.00","1,631.00","1,631.00","1,631.00",-2.92,115,"187,565","187,565"
36,11/21/2024,"1,680.00","1,680.00","1,680.00","1,680.00",1.29,9,"15,120","15,120"
37,11/20/2024,"1,650.00","1,693.00","1,650.00","1,658.60",1.57,50,"82,930","3,382,930"
