,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,1/17/2025,"109,000.00","109,009.00","107,560.00","108,644.50",9.63,56,"6,084,092","6,084,092"
1,1/16/2025,"104,501.00","104,501.00","95,500.00","99,099.96",4.31,25,"2,477,499","2,477,499"
2,1/15/2025,"95,001.00","95,001.00","95,001.00","95,001.00",0.20,22,"2,090,022","2,090,022"
3,1/14/2025,"95,000.00","95,000.00","94,002.00","94,815.42",0.87,59,"5,594,110","5,594,110"
4,1/13/2025,"94,000.00","94,000.00","94,000.00","94,000.00",-0.11,18,"1,692,000","1,692,000"
5,1/10/2025,"93,999.00",,,"94,106.00",0.00,0,0,0
6,1/9/2025,"93,999.00","94,500.00","93,901.00","94,106.00",0.21,16,"1,505,696","1,505,696"
7,1/8/2025,"93,999.00","93,999.00","93,800.00","93,906.12",0.02,16,"1,502,498","1,502,498"
8,1/3/2025,"93,990.00","93,990.00","93,850.00","93,890.00",1.19,7,"657,230","657,230"
9,1/2/2025,"93,100.00",,,"92,788.89",0.00,0,0,0
10,12/30/2024,"93,100.00",,,"92,788.89",0.00,0,0,0
11,12/27/2024,"93,100.00","93,100.00","92,500.00","92,788.89",0.31,27,"2,505,300","2,505,300"
12,12/26/2024,"92,500.00","92,500.00","92,500.00","92,500.00",0.00,13,"1,202,500","1,202,500"
13,12/25/2024,"92,500.00","92,500.00","92,500.00","92,500.00",0.00,4,"370,000","370,000"
14,12/24/2024,"92,500.00","92,500.00","92,500.00","92,500.00",0.00,2,"185,000","185,000"
15,12/23/2024,"92,500.00",,,"92,500.00",0.00,0,0,0
16,12/20/2024,"92,500.00","92,500.00","92,500.00","92,500.00",0.00,6,"555,000","555,000"
17,12/19/2024,"92,500.00","92,508.00","92,500.00","92,502.67",-0.51,24,"2,220,064","2,220,064"
18,12/18/2024,"93,000.00","93,200.00","92,001.00","92,973.37",1.02,60,"5,578,402","5,578,402"
19,12/17/2024,"92,000.00",,,"92,036.03",0.00,0,0,0
20,12/16/2024,"92,000.00","92,200.00","92,000.00","92,036.03",0.94,34,"3,129,225","3,129,225"
21,12/13/2024,"92,000.00","92,000.00","91,003.00","91,183.01",0.18,67,"6,109,262","6,109,262"
22,12/12/2024,"91,250.00","91,250.00","91,000.00","91,022.73",0.25,11,"1,001,250","1,001,250"
23,12/11/2024,"91,000.00","91,000.00","90,001.00","90,800.20",0.89,10,"908,002","908,002"
24,12/10/2024,"90,001.00","90,002.00","90,001.00","90,001.50",0.00,26,"2,340,039","2,340,039"
25,12/6/2024,"90,000.00","90,000.00","90,000.00","90,000.00",0.74,26,"2,340,000","2,340,000"
26,12/5/2024,"90,000.00","90,000.00","87,504.00","89,340.33",2.06,72,"6,432,504","6,432,504"
27,12/4/2024,"87,900.00","87,900.00","87,003.00","87,536.73",0.51,37,"3,238,859","3,238,859"
28,12/3/2024,"87,100.00","87,100.00","87,001.00","87,095.50",0.11,130,"11,322,415","14,976,415"
29,12/2/2024,"87,000.00","87,000.00","87,000.00","87,000.00",0.00,20,"1,740,000","1,740,000"
30,11/29/2024,"87,000.00","87,000.00","86,999.00","86,999.59",0.00,17,"1,478,993","1,478,993"
31,11/28/2024,"87,000.00","87,001.00","87,000.00","87,000.03",0.58,37,"3,219,001","3,219,001"
32,11/27/2024,"86,500.00","86,500.00","86,500.00","86,500.00",-0.57,2,"173,000","173,000"
33,11/26/2024,"87,000.00",,,"87,000.00",0.00,0,0,0
34,11/25/2024,"87,000.00","87,000.00","87,000.00","87,000.00",-0.12,11,"957,000","957,000"
35,11/22/2024,"87,001.00","87,998.00","87,001.00","87,101.20",0.12,10,"871,012","871,012"
36,11/21/2024,"87,000.00","87,000.00","87,000.00","87,000.00",0.07,3,"261,000","261,000"
37,11/20/2024,"86,999.00","86,999.00","86,600.00","86,937.22",0.14,18,"1,564,870","1,564,870"
