,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,1/17/2025,"16,400.00","16,400.00","16,399.00","16,399.90",0.37,79,"1,295,592","1,295,592"
1,1/16/2025,"16,400.00","16,400.00","16,300.00","16,339.02",-0.37,164,"2,679,600","2,679,600"
2,1/15/2025,"16,400.00","16,400.00","16,400.00","16,400.00",0.00,119,"1,951,600","1,951,600"
3,1/14/2025,"16,400.00","16,400.00","16,400.00","16,400.00",0.00,3,"49,200","49,200"
4,1/13/2025,"16,400.00","16,400.00","16,400.00","16,400.00",-0.22,8,"131,200","131,200"
5,1/10/2025,"16,400.00","16,500.00","16,351.00","16,435.41",0.03,170,"2,794,020","2,794,020"
6,1/9/2025,"16,400.00","16,498.00","16,300.00","16,430.56",-0.41,117,"1,922,376","1,922,376"
7,1/8/2025,"16,498.00","16,500.00","16,498.00","16,498.22",-0.01,103,"1,699,317","1,699,317"
8,1/3/2025,"16,500.00","16,500.00","16,500.00","16,500.00",-1.31,422,"6,963,000","6,963,000"
9,1/2/2025,"16,500.00","16,750.00","16,500.00","16,719.36",0.73,47,"785,810","785,810"
10,12/30/2024,"16,598.00","16,600.00","16,598.00","16,598.33",0.60,43,"713,728","713,728"
11,12/27/2024,"16,500.00","16,500.00","16,500.00","16,500.00",0.10,44,"726,000","726,000"
12,12/26/2024,"16,500.00","16,500.00","16,400.00","16,483.49",-0.10,81,"1,335,163","1,335,163"
13,12/25/2024,"16,500.00","16,500.00","16,500.00","16,500.00",2.59,35,"577,500","577,500"
14,12/24/2024,"16,490.00","16,490.00","16,015.00","16,082.86",-2.59,14,"225,160","225,160"
15,12/23/2024,"16,500.00","16,553.00","16,500.00","16,509.69",2.73,32,"528,310","528,310"
16,12/20/2024,"16,501.00","17,049.00","15,960.00","16,070.92",3.69,122,"1,960,652","5,548,652"
17,12/19/2024,"15,500.00","15,500.00","15,300.00","15,499.34",2.75,"3,036","47,056,000","47,056,000"
18,12/18/2024,"15,300.00","15,300.00","15,000.00","15,084.64",1.17,195,"2,941,505","2,941,505"
19,12/17/2024,"14,950.00","14,950.00","14,800.00","14,910.92",1.35,262,"3,906,660","3,906,660"
20,12/16/2024,"14,750.00","14,950.00","14,530.00","14,712.50",-1.78,144,"2,118,600","2,118,600"
21,12/13/2024,"14,950.00","14,998.00","14,940.00","14,979.32",-0.13,68,"1,018,594","1,018,594"
22,12/12/2024,"14,999.00","15,000.00","14,999.00","14,999.21",-0.01,200,"2,999,842","2,999,842"
23,12/11/2024,"15,000.00","15,000.00","15,000.00","15,000.00",-2.21,166,"2,490,000","2,490,000"
24,12/10/2024,"15,498.00",,,"15,338.33",0.00,0,0,0
25,12/6/2024,"15,498.00","15,500.00","15,300.00","15,338.33",1.81,104,"1,595,186","1,595,186"
26,12/5/2024,"15,090.00","15,090.00","15,000.00","15,066.05",0.45,155,"2,335,237","2,335,237"
27,12/4/2024,"14,999.00","14,999.00","14,999.00","14,999.00",-0.01,12,"179,988","179,988"
28,12/3/2024,"14,999.00","15,000.00","14,999.00","14,999.75",-0.60,61,"914,985","914,985"
29,12/2/2024,"15,090.00","15,090.00","15,090.00","15,090.00",0.60,16,"241,440","241,440"
30,11/29/2024,"15,000.00","15,000.00","15,000.00","15,000.00",0.00,27,"405,000","405,000"
31,11/28/2024,"15,000.00","15,000.00","14,998.00","14,999.96",0.00,199,"2,984,992","2,984,992"
32,11/27/2024,"14,998.00","15,000.00","14,998.00","14,999.67",0.27,30,"449,990","449,990"
33,11/26/2024,"15,000.00","15,000.00","14,900.00","14,960.00",0.40,10,"149,600","149,600"
34,11/25/2024,"14,900.00",,,"14,900.00",0.00,0,0,0
35,11/22/2024,"14,900.00","14,900.00","14,900.00","14,900.00",0.36,6,"89,400","89,400"
36,11/21/2024,"14,800.00",,,"14,846.67",0.00,0,0,0
37,11/20/2024,"14,800.00","14,950.00","14,790.00","14,846.67",0.26,15,"222,700","222,700"
