,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,1/17/2025,140.00,140.00,140.00,140.00,2.87,250,"35,000","35,000"
1,1/16/2025,136.00,,,136.10,0.00,0,0,0
2,1/15/2025,136.00,,,136.10,0.00,0,0,0
3,1/14/2025,136.00,,,136.10,0.00,0,0,0
4,1/13/2025,136.00,137.00,136.00,136.10,-0.64,"1,000","136,100","136,100"
5,1/10/2025,138.00,138.00,136.00,136.97,0.71,"5,801","794,538","794,538"
6,1/9/2025,136.00,,,136.00,0.00,0,0,0
7,1/8/2025,136.00,,,136.00,0.00,0,0,0
8,1/3/2025,136.00,,,136.00,0.00,0,0,0
9,1/2/2025,136.00,136.00,136.00,136.00,0.81,800,"108,800","108,800"
10,12/30/2024,135.00,,,134.91,0.00,0,0,0
11,12/27/2024,135.00,,,134.91,0.00,0,0,0
12,12/26/2024,135.00,,,134.91,0.00,0,0,0
13,12/25/2024,135.00,,,134.91,0.00,0,0,0
14,12/24/2024,135.00,135.00,130.00,134.91,2.98,"2,750","371,000","371,000"
15,12/23/2024,131.00,131.00,131.00,131.00,-2.30,79,"10,349","10,349"
16,12/20/2024,135.00,135.00,129.00,134.08,-0.68,"7,229","969,251","969,251"
17,12/19/2024,129.00,,,135.00,0.00,0,0,0
18,12/18/2024,129.00,,,135.00,0.00,0,0,0
19,12/17/2024,129.00,138.00,129.00,135.00,0.00,"1,740","234,906","234,906"
20,12/16/2024,135.00,135.00,135.00,135.00,0.00,100,"13,500","13,500"
21,12/13/2024,135.00,135.00,135.00,135.00,0.00,40,"5,400","5,400"
22,12/12/2024,135.00,135.00,135.00,135.00,-0.74,100,"13,500","13,500"
23,12/11/2024,136.00,136.00,136.00,136.00,0.74,500,"68,000","68,000"
24,12/10/2024,135.00,135.00,135.00,135.00,-0.74,"2,926","395,010","395,010"
25,12/6/2024,136.00,136.00,136.00,136.00,0.74,135,"18,360","18,360"
26,12/5/2024,135.00,135.00,135.00,135.00,0.00,526,"71,010","71,010"
27,12/4/2024,135.00,135.00,135.00,135.00,0.00,"1,320","178,200","178,200"
28,12/3/2024,135.00,135.00,135.00,135.00,-0.74,50,"6,750","6,750"
29,12/2/2024,136.00,,,136.00,0.00,0,0,0
30,11/29/2024,136.00,136.00,136.00,136.00,-2.86,230,"31,280","31,280"
31,11/28/2024,140.00,140.00,140.00,140.00,3.67,300,"42,000","42,000"
32,11/27/2024,135.00,136.00,135.00,135.05,-1.06,"1,377","185,965","185,965"
33,11/26/2024,136.00,137.00,136.00,136.50,-1.60,"1,300","177,450","177,450"
34,11/25/2024,139.00,139.00,138.00,138.72,2.76,"3,513","487,307","487,307"
35,11/22/2024,135.00,135.00,135.00,135.00,0.00,135,"18,225","18,225"
36,11/21/2024,135.00,135.00,135.00,135.00,0.84,"1,290","174,150","174,150"
37,11/20/2024,133.00,136.00,133.00,133.87,0.65,"2,583","345,789","345,789"
