,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,1/17/2025,"2,100.00","2,100.00","2,100.00","2,100.00",1.46,131,"275,100","275,100"
1,1/16/2025,"2,100.00","2,100.00","2,050.00","2,069.88",1.14,166,"343,600","343,600"
2,1/15/2025,"2,070.00",,,"2,046.47",0.00,0,0,0
3,1/14/2025,"2,070.00","2,070.00","2,030.00","2,046.47",1.81,170,"347,900","347,900"
4,1/13/2025,"2,010.00","2,010.00","2,010.00","2,010.00",0.50,15,"30,150","30,150"
5,1/10/2025,"2,000.00",,,"2,000.00",0.00,0,0,0
6,1/9/2025,"2,000.00","2,000.00","2,000.00","2,000.00",2.56,27,"54,000","54,000"
7,1/8/2025,"1,950.00","1,950.00","1,950.00","1,950.00",-2.45,219,"427,050","427,050"
8,1/3/2025,"1,999.00","1,999.00","1,999.00","1,999.00",2.51,58,"115,942","115,942"
9,1/2/2025,"1,950.00",,,"1,950.00",0.00,0,0,0
10,12/30/2024,"1,950.00","1,950.00","1,950.00","1,950.00",0.00,39,"76,050","76,050"
11,12/27/2024,"1,950.00","1,950.00","1,950.00","1,950.00",0.00,657,"1,281,150","1,281,150"
12,12/26/2024,"1,950.00","1,950.00","1,950.00","1,950.00",0.03,8,"15,600","15,600"
13,12/25/2024,"1,950.00","1,950.00","1,949.00","1,949.36",-0.03,69,"134,506","134,506"
14,12/24/2024,"1,950.00","1,950.00","1,950.00","1,950.00",0.02,25,"48,750","48,750"
15,12/23/2024,"1,950.00",,,"1,949.57",0.00,0,0,0
16,12/20/2024,"1,950.00",,,"1,949.57",0.00,0,0,0
17,12/19/2024,"1,950.00","1,950.00","1,948.00","1,949.57",-0.02,154,"300,234","300,234"
18,12/18/2024,"1,950.00",,,"1,950.00",0.00,0,0,0
19,12/17/2024,"1,950.00","1,950.00","1,950.00","1,950.00",0.00,30,"58,500","58,500"
20,12/16/2024,"1,950.00","1,950.00","1,950.00","1,950.00",0.00,15,"29,250","29,250"
21,12/13/2024,"1,950.00","1,950.00","1,950.00","1,950.00",0.05,38,"74,100","74,100"
22,12/12/2024,"1,949.00","1,949.00","1,949.00","1,949.00",-0.05,39,"76,011","76,011"
23,12/11/2024,"1,950.00",,,"1,950.00",0.00,0,0,0
24,12/10/2024,"1,950.00","1,950.00","1,950.00","1,950.00",0.00,100,"195,000","195,000"
25,12/6/2024,"1,950.00","1,950.00","1,950.00","1,950.00",2.61,35,"68,250","68,250"
26,12/5/2024,"1,910.00","1,910.00","1,899.00","1,900.40",2.45,202,"383,881","383,881"
27,12/4/2024,"1,855.00","1,855.00","1,855.00","1,855.00",2.98,436,"808,780","808,780"
28,12/3/2024,"1,800.00",,,"1,801.34",0.00,0,0,0
29,12/2/2024,"1,800.00",,,"1,801.34",0.00,0,0,0
30,11/29/2024,"1,800.00",,,"1,801.34",0.00,0,0,0
31,11/28/2024,"1,800.00","1,899.00","1,800.00","1,801.34",-2.79,841,"1,514,930","1,514,930"
32,11/27/2024,"1,835.00",,,"1,853.08",0.00,0,0,0
33,11/26/2024,"1,835.00",,,"1,853.08",0.00,0,0,0
34,11/25/2024,"1,835.00","1,900.00","1,835.00","1,853.08",-1.94,165,"305,759","305,759"
35,11/22/2024,"1,890.00","1,890.00","1,850.00","1,889.74",-0.03,151,"285,350","285,350"
36,11/21/2024,"1,900.00","1,900.00","1,890.00","1,890.27",-2.56,"1,182","2,234,300","2,234,300"
37,11/20/2024,"1,940.00",,,"1,940.00",0.00,0,0,0
