,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,"25.290,00","25.290,00","25.215,00","25.247,73","0,11",306,7.725.805,7.725.805
1,27/11/2024,"25.244,00","25.250,00","25.200,00","25.219,04","0,06",193,4.867.275,4.867.275
2,26/11/2024,"25.205,00","25.205,00","25.200,00","25.202,82","-0,06",333,8.392.540,8.392.540
3,25/11/2024,"25.200,00","25.300,00","25.150,00","25.218,05","0,18",577,14.550.816,14.550.816
4,22/11/2024,"25.100,00","25.200,00","25.100,00","25.172,12","-0,10",286,7.199.226,7.199.226
5,21/11/2024,"25.190,00","25.200,00","25.190,00","25.198,46","0,15",209,5.266.479,5.266.479
6,20/11/2024,"25.198,00","25.300,00","25.000,00","25.159,51","0,45",552,13.888.050,13.888.050
7,19/11/2024,"25.100,00","25.170,00","25.000,00","25.047,25","0,41",364,9.117.198,9.117.198
8,18/11/2024,"25.000,00","25.000,00","24.899,00","24.943,90","2,65",344,8.580.703,8.580.703
9,15/11/2024,"24.350,00","24.350,00","24.030,00","24.300,32","1,29",132,3.207.642,7.629.322
10,14/11/2024,"24.000,00","24.000,00","23.950,00","23.991,57","0,29",408,9.788.559,13.733.409
11,13/11/2024,"24.000,00","24.000,00","23.889,00","23.922,38","0,54",175,4.186.417,8.110.017
12,12/11/2024,"23.820,00","23.821,00","23.700,00","23.793,41","1,54",485,11.539.805,15.449.805
13,11/11/2024,"23.889,00","23.889,00","23.200,00","23.432,42","1,03",88,2.062.053,2.062.053
14,08/11/2024,"23.299,00","23.400,00","23.010,00","23.193,84","0,85",64,1.484.406,1.484.406
15,07/11/2024,"23.000,00","23.000,00","22.990,00","22.997,62","2,28",130,2.989.691,2.989.691
16,06/11/2024,"22.500,00","22.502,00","22.301,00","22.484,06","0,83",187,4.204.519,4.204.519
17,05/11/2024,"22.300,00","22.300,00","22.298,00","22.299,74","0,03","3,434",76.577.300,76.577.300
18,04/11/2024,"22.300,00","22.300,00","22.250,00","22.293,98","-0,10",408,9.095.944,9.095.944
19,01/11/2024,"22.300,00","22.351,00","22.300,00","22.316,35","0,11",712,15.889.243,26.615.543
20,31/10/2024,"22.250,00","22.310,00","22.250,00","22.291,33","0,19",218,4.859.510,4.859.510
