,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
1,27/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
2,26/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
3,25/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
4,22/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
5,21/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
6,20/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
7,19/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
8,18/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
9,15/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
10,14/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
11,13/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
12,12/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
13,11/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
14,08/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
15,07/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
16,06/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
17,05/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
18,04/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
19,01/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
20,31/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
21,30/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
22,29/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
23,28/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
24,25/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
25,24/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",133,787.227,787.227
26,22/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",132,781.308,781.308
27,21/10/2024,"5.919,00","5.920,00","5.919,00","5.919,22","0,00",276,1.633.704,1.633.704
28,18/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",109,645.171,645.171
29,17/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,04",132,781.308,781.308
30,16/10/2024,"5.919,00","5.919,00","5.850,00","5.916,49","-0,04","3,208",18.980.097,18.980.097
31,15/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
32,14/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
33,10/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
34,09/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
35,08/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
36,07/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
37,04/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
38,03/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
39,02/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",192,1.136.448,1.136.448
40,01/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,01",454,2.687.226,2.687.226
41,30/09/2024,"5.919,00","5.919,00","5.910,00","5.918,65","0,12","1,422",8.416.324,8.416.324
42,27/09/2024,"5.919,00",,,"5.911,35","0,00",0,0,0
43,26/09/2024,"5.919,00",,,"5.911,35","0,00",0,0,0
44,25/09/2024,"5.919,00","5.919,00","5.750,00","5.911,35","2,81","2,070",12.236.487,12.236.487
45,24/09/2024,"5.750,00","5.750,00","5.750,00","5.750,00","-2,85",20,115.000,115.000
46,23/09/2024,"5.919,00",,,"5.918,95","0,00",0,0,0
47,20/09/2024,"5.919,00","5.919,00","5.918,00","5.918,95","0,90","4,032",23.865.195,23.865.195
48,19/09/2024,"5.866,00","5.866,00","5.866,00","5.866,00","9,99",33,193.578,193.578
49,18/09/2024,"5.333,00","5.333,00","5.333,00","5.333,00","-9,90",5,26.665,26.665
50,17/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
51,16/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
52,13/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
53,12/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
54,11/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
55,10/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
56,06/09/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",144,852.336,852.336
57,05/09/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",10,59.190,59.190
58,04/09/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",15,88.785,88.785
59,03/09/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",111,657.009,657.009
60,02/09/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",35,207.165,207.165
61,30/08/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",120,710.280,710.280
62,29/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
63,27/08/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",595,3.521.805,3.521.805
64,26/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
65,23/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
66,22/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
67,21/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
68,20/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
69,19/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
70,16/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
71,15/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
72,14/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
73,13/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
74,12/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
75,08/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
76,07/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
77,06/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
78,05/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
79,04/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
80,01/11/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
81,31/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
82,30/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
83,29/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
84,28/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
85,25/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
86,24/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",133,787.227,787.227
87,22/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",132,781.308,781.308
88,21/10/2024,"5.919,00","5.920,00","5.919,00","5.919,22","0,00",276,1.633.704,1.633.704
89,18/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",109,645.171,645.171
90,17/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,04",132,781.308,781.308
91,16/10/2024,"5.919,00","5.919,00","5.850,00","5.916,49","-0,04","3,208",18.980.097,18.980.097
92,15/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
93,14/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
94,10/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
95,09/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
96,08/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
97,07/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
98,04/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
99,03/10/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
100,02/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",192,1.136.448,1.136.448
101,01/10/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,01",454,2.687.226,2.687.226
102,30/09/2024,"5.919,00","5.919,00","5.910,00","5.918,65","0,12","1,422",8.416.324,8.416.324
103,27/09/2024,"5.919,00",,,"5.911,35","0,00",0,0,0
104,26/09/2024,"5.919,00",,,"5.911,35","0,00",0,0,0
105,25/09/2024,"5.919,00","5.919,00","5.750,00","5.911,35","2,81","2,070",12.236.487,12.236.487
106,24/09/2024,"5.750,00","5.750,00","5.750,00","5.750,00","-2,85",20,115.000,115.000
107,23/09/2024,"5.919,00",,,"5.918,95","0,00",0,0,0
108,20/09/2024,"5.919,00","5.919,00","5.918,00","5.918,95","0,90","4,032",23.865.195,23.865.195
109,19/09/2024,"5.866,00","5.866,00","5.866,00","5.866,00","9,99",33,193.578,193.578
110,18/09/2024,"5.333,00","5.333,00","5.333,00","5.333,00","-9,90",5,26.665,26.665
111,17/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
112,16/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
113,13/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
114,12/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
115,11/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
116,10/09/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
117,06/09/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",144,852.336,852.336
118,05/09/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",10,59.190,59.190
119,04/09/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",15,88.785,88.785
120,03/09/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",111,657.009,657.009
121,02/09/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",35,207.165,207.165
122,30/08/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",120,710.280,710.280
123,29/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
124,27/08/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",595,3.521.805,3.521.805
125,26/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
126,23/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
127,22/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
128,21/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
129,20/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
130,19/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
131,16/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
132,15/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
133,14/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
134,13/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
135,12/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
136,09/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
137,08/08/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00","1,035",6.126.165,6.126.165
138,07/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
139,06/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
140,05/08/2024,"5.919,00",,,"5.919,00","0,00",0,0,0
141,01/08/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",234,1.385.046,1.385.046
142,31/07/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",514,3.042.366,3.042.366
143,30/07/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",108,639.252,639.252
144,29/07/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",30,177.570,177.570
145,26/07/2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,01",274,1.621.806,1.621.806
146,25/07/2024,"5.919,00","5.919,00","5.900,00","5.918,69","1,13","14,572",86.247.158,86.247.158
