,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,"30,00",,,"30,00","0,00",0,0,0
1,27/11/2024,"30,00",,,"30,00","0,00",0,0,0
2,26/11/2024,"30,00",,,"30,00","0,00",0,0,0
3,25/11/2024,"30,00",,,"30,00","0,00",0,0,0
4,22/11/2024,"30,00",,,"30,00","0,00",0,0,0
5,21/11/2024,"30,00",,,"30,00","0,00",0,0,0
6,20/11/2024,"30,00",,,"30,00","0,00",0,0,0
7,19/11/2024,"30,00",,,"30,00","0,00",0,0,0
8,18/11/2024,"30,00",,,"30,00","0,00",0,0,0
9,15/11/2024,"30,00",,,"30,00","0,00",0,0,0
10,14/11/2024,"30,00",,,"30,00","0,00",0,0,0
11,13/11/2024,"30,00",,,"30,00","0,00",0,0,0
12,12/11/2024,"30,00",,,"30,00","0,00",0,0,0
13,11/11/2024,"30,00",,,"30,00","0,00",0,0,0
14,08/11/2024,"30,00","30,00","30,00","30,00","0,00","4,980",149.400,149.400
15,08/11/2024,"30,00","30,00","30,00","30,00","0,00","4,980",149.400,149.400
16,28/12/2023,"30,00",,,"30,00","0,00",0,0,0
17,27/12/2023,"30,00",,,"30,00","0,00",0,0,0
18,26/12/2023,"30,00",,,"30,00","0,00",0,0,0
19,25/12/2023,"30,00",,,"30,00","0,00",0,0,0
20,22/12/2023,"30,00",,,"30,00","0,00",0,0,0
21,21/12/2023,"30,00",,,"30,00","0,00",0,0,0
22,20/12/2023,"30,00",,,"30,00","0,00",0,0,0
23,19/12/2023,"30,00",,,"30,00","0,00",0,0,0
24,18/12/2023,"30,00",,,"30,00","0,00",0,0,0
25,15/12/2023,"30,00",,,"30,00","0,00",0,0,0
26,14/12/2023,"30,00",,,"30,00","0,00",0,0,0
27,13/12/2023,"30,00",,,"30,00","0,00",0,0,0
28,12/12/2023,"30,00",,,"30,00","0,00",0,0,0
29,11/12/2023,"30,00",,,"30,00","0,00",0,0,0
30,07/12/2023,"30,00",,,"30,00","0,00",0,0,0
31,06/12/2023,"30,00",,,"30,00","0,00",0,0,0
32,05/12/2023,"30,00",,,"30,00","0,00",0,0,0
33,04/12/2023,"30,00",,,"30,00","0,00",0,0,0
34,01/12/2023,"30,00",,,"30,00","0,00",0,0,0
35,30/11/2023,"30,00",,,"30,00","0,00",0,0,0
36,29/11/2023,"30,00",,,"30,00","0,00",0,0,0
37,28/11/2023,"30,00",,,"30,00","0,00",0,0,0
38,27/11/2023,"30,00",,,"30,00","0,00",0,0,0
39,24/11/2023,"30,00",,,"30,00","0,00",0,0,0
