,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,"15.000,00","15.000,00","14.998,00","14.999,96","0,00",199,2.984.992,2.984.992
1,27/11/2024,"14.998,00","15.000,00","14.998,00","14.999,67","0,27",30,449.990,449.990
2,26/11/2024,"15.000,00","15.000,00","14.900,00","14.960,00","0,40",10,149.600,149.600
3,25/11/2024,"14.900,00",,,"14.900,00","0,00",0,0,0
4,22/11/2024,"14.900,00","14.900,00","14.900,00","14.900,00","0,36",6,89.400,89.400
5,21/11/2024,"14.800,00",,,"14.846,67","0,00",0,0,0
6,20/11/2024,"14.800,00","14.950,00","14.790,00","14.846,67","0,26",15,222.700,222.700
7,19/11/2024,"14.750,00",,,"14.808,17","0,00",0,0,0
8,18/11/2024,"14.750,00","15.099,00","14.750,00","14.808,17","-0,62",18,266.547,266.547
9,15/11/2024,"14.900,00",,,"14.900,00","0,00",0,0,0
10,14/11/2024,"14.900,00","14.900,00","14.900,00","14.900,00","0,00",4,59.600,59.600
11,13/11/2024,"14.900,00",,,"14.900,00","0,00",0,0,0
12,12/11/2024,"14.900,00","14.900,00","14.900,00","14.900,00","1,21",10,149.000,149.000
13,11/11/2024,"15.069,00","15.069,00","14.550,00","14.721,59","-2,48",27,397.483,397.483
14,08/11/2024,"15.096,00","15.096,00","15.096,00","15.096,00","-0,01",9,135.864,135.864
15,07/11/2024,"15.098,00","15.098,00","15.098,00","15.098,00","-0,01",17,256.666,256.666
16,06/11/2024,"15.100,00",,,"15.100,00","0,00",0,0,0
17,05/11/2024,"15.100,00","15.100,00","15.100,00","15.100,00","0,00",11,166.100,166.100
18,04/11/2024,"15.100,00","15.100,00","15.100,00","15.100,00","2,03",2,30.200,30.200
19,01/11/2024,"14.800,00","14.800,00","14.800,00","14.800,00","0,68",12,177.600,177.600
20,31/10/2024,"14.700,00","14.700,00","14.700,00","14.700,00","0,00",21,308.700,308.700
21,30/10/2024,"14.700,00","14.701,00","14.700,00","14.700,65","0,00",31,455.720,455.720
22,29/10/2024,"14.700,00",,,"14.700,00","0,00",0,0,0
23,28/10/2024,"14.700,00","14.700,00","14.700,00","14.700,00","0,28",34,499.800,499.800
24,25/10/2024,"14.700,00","14.700,00","14.601,00","14.659,28","-0,28",141,2.066.958,2.066.958
25,24/10/2024,"14.700,00","14.700,00","14.700,00","14.700,00","1,38",40,588.000,588.000
26,22/10/2024,"14.500,00",,,"14.500,00","0,00",0,0,0
27,21/10/2024,"14.500,00","14.500,00","14.500,00","14.500,00","-1,49",1,14.500,14.500
28,18/10/2024,"14.700,00",,,"14.720,00","0,00",0,0,0
29,17/10/2024,"14.700,00","14.800,00","14.700,00","14.720,00","-0,20",5,73.600,73.600
