,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
1,27/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
2,26/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
3,25/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
4,22/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
5,21/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
6,20/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
7,19/11/2024,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",30,99.000,99.000
8,18/11/2024,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",70,231.000,231.000
9,15/11/2024,"3.300,00","3.300,00","3.300,00","3.300,00","0,00","1,724",5.689.200,7.999.200
10,14/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,2.280.300
11,13/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,2.656.500
12,12/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
13,11/11/2024,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",385,1.270.500,1.270.500
14,08/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
15,07/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
16,06/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
17,05/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
18,04/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
19,01/11/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
20,31/10/2024,"3.300,00","3.300,00","3.300,00","3.300,00","1,51",836,2.758.800,2.758.800
21,30/10/2024,"3.300,00",,,"3.251,03","0,00",0,0,0
22,29/10/2024,"3.300,00",,,"3.251,03","0,00",0,0,0
23,28/10/2024,"3.300,00","3.300,00","3.250,00","3.251,03","1,59",242,786.750,41.300.850
24,25/10/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
25,24/10/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",150,480.000,480.000
26,22/10/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",90,288.000,288.000
27,21/10/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
28,18/10/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",111,355.200,355.200
29,17/10/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
30,16/10/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",504,1.612.800,1.612.800
31,15/10/2024,"3.200,00",,,"3.200,00","0,00",0,0,48.136.760
32,14/10/2024,"3.200,00","3.200,00","3.200,00","3.200,00","-1,52",540,1.728.000,1.728.000
33,10/10/2024,"3.250,00","3.250,00","3.220,00","3.249,45","1,52",219,711.630,29.895.930
34,09/10/2024,"3.201,00","3.201,00","3.200,00","3.200,78","0,02",654,2.093.308,2.093.308
35,08/10/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",156,499.200,499.200
36,07/10/2024,"3.199,00","3.200,00","3.199,00","3.199,87","0,00","1,145",3.663.847,3.663.847
37,04/10/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00","9,408",30.105.600,30.105.600
38,03/10/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
39,02/10/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",352,1.126.400,1.126.400
40,01/10/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",100,320.000,320.000
41,30/09/2024,"3.220,00",,,"3.200,05","0,00",0,0,0
42,27/09/2024,"3.220,00",,,"3.200,05","0,00",0,0,0
43,26/09/2024,"3.220,00",,,"3.200,05","0,00",0,0,0
44,25/09/2024,"3.220,00",,,"3.200,05","0,00",0,0,0
45,24/09/2024,"3.220,00",,,"3.200,05","0,00",0,0,0
46,23/09/2024,"3.220,00","3.220,00","3.200,00","3.200,05","-0,93",432,1.382.420,1.382.420
47,20/09/2024,"3.230,00","3.230,00","3.230,00","3.230,00","-0,57",70,226.100,226.100
48,19/09/2024,"3.250,00","3.250,00","3.200,00","3.248,61","1,49","3,614",11.740.480,16.862.480
49,18/09/2024,"3.201,00","3.201,00","3.200,00","3.200,83","0,03",90,288.075,288.075
50,17/09/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",15,48.000,48.000
51,16/09/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00","1,167",3.734.400,9.294.752
52,13/09/2024,"3.200,00","3.201,00","3.200,00","3.200,05","0,00","1,344",4.300.862,4.300.862
53,12/09/2024,"3.200,00","3.200,00","3.199,00","3.199,97","6,12","3,839",12.284.683,12.284.683
54,11/09/2024,"3.015,00","3.016,00","3.015,00","3.015,55","0,02",40,120.622,120.622
55,10/09/2024,"3.015,00","3.015,00","3.015,00","3.015,00","-7,55",17,51.255,51.255
56,06/09/2024,"3.250,00",,,"3.261,05","0,00",0,0,0
57,05/09/2024,"3.250,00",,,"3.261,05","0,00",0,0,0
58,04/09/2024,"3.250,00",,,"3.261,05","0,00",0,0,0
59,03/09/2024,"3.250,00",,,"3.261,05","0,00",0,0,3.200.000
60,02/09/2024,"3.250,00",,,"3.261,05","0,00",0,0,0
61,30/08/2024,"3.250,00",,,"3.261,05","0,00",0,0,0
62,29/08/2024,"3.250,00","3.270,00","3.250,00","3.261,05","0,52",324,1.056.580,1.056.580
63,27/08/2024,"3.275,00","3.298,00","3.199,00","3.244,20","1,30","3,016",9.784.516,9.784.516
64,26/08/2024,"3.210,00",,,"3.202,64","0,00",0,0,0
65,23/08/2024,"3.210,00","3.210,00","3.150,00","3.202,64","0,08","1,849",5.921.677,5.921.677
66,22/08/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
67,21/08/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
68,20/08/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
69,19/08/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,31",51,163.200,163.200
