,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
1,27/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
2,26/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
3,25/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
4,22/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
5,21/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
6,20/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
7,19/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
8,18/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
9,15/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
10,14/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
11,13/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
12,12/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
13,11/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
14,08/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
15,07/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
16,06/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
17,05/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
18,04/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
19,01/11/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
20,31/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
21,30/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
22,29/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
23,28/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
24,25/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
25,24/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
26,22/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
27,21/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,5.000.100
28,18/10/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
29,08/11/2024,"1.400,00",,,"1.400,00","0,00",0,0.0,0
30,07/11/2024,"1.400,00",,,"1.400,00","0,00",0,0.0,0
31,06/11/2024,"1.400,00",,,"1.400,00","0,00",0,0.0,0
32,05/11/2024,"1.400,00",,,"1.400,00","0,00",0,0.0,0
33,04/11/2024,"1.400,00",,,"1.400,00","0,00",0,0.0,0
34,01/11/2024,"1.400,00",,,"1.400,00","0,00",0,0.0,0
35,31/10/2024,"1.400,00",,,"1.400,00","0,00",0,0.0,0
36,30/10/2024,"1.400,00",,,"1.400,00","0,00",0,0.0,0
37,29/10/2024,"1.400,00",,,"1.400,00","0,00",0,0.0,0
38,28/10/2024,"1.400,00",,,"1.400,00","0,00",0,0.0,0
39,25/10/2024,"1.400,00",,,"1.400,00","0,00",0,0.0,0
40,24/10/2024,"1.400,00",,,"1.400,00","0,00",0,0.0,0
41,22/10/2024,"1.400,00",,,"1.400,00","0,00",0,0.0,0
42,21/10/2024,"1.400,00",,,"1.400,00","0,00",0,0.0,5.000.100
43,18/10/2024,"1.400,00",,,"1.400,00","0,00",0,0.0,0
44,29/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
45,28/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
46,27/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
47,26/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
48,23/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
49,22/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
50,21/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
51,20/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
52,19/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
53,16/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
54,15/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
55,14/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
56,13/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
57,12/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
58,09/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
59,07/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
60,06/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
61,05/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
62,02/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
63,01/12/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
64,30/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
65,29/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
66,28/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
67,25/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
68,24/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
69,23/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
70,22/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
71,21/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
72,18/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
73,17/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
74,16/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
75,15/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
76,14/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
77,11/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
78,11/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
79,10/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
80,09/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
81,08/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
82,07/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
83,04/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
84,03/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
85,02/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
86,01/11/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
87,31/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
88,28/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
89,27/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
90,26/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
91,25/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
92,21/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
93,20/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
94,19/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
95,18/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
96,17/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
97,14/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
98,13/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
99,12/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
100,10/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
101,07/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
102,06/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
103,05/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
104,04/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
105,03/10/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
106,30/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
107,29/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
108,28/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
109,27/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
110,26/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
111,23/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
112,22/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
113,21/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
114,20/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,6.999.300
115,19/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
116,16/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
117,15/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
118,14/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
119,13/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
120,12/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
121,09/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
122,07/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
123,06/09/2022,"1.400,00",,,"1.400,00","0,00",0,0.0,0
124,28/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
125,27/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
126,26/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
127,25/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
128,24/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
129,21/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
130,20/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
131,19/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
132,18/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
133,17/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
134,14/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
135,13/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
136,12/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
137,11/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
138,10/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
139,07/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
140,06/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
141,05/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
142,04/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
143,03/12/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
144,30/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
145,29/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
146,28/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
147,27/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
148,26/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
149,23/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
150,22/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
151,21/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
152,20/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
153,19/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
154,16/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
155,15/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
156,14/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
157,13/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
158,12/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
159,12/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
160,09/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
161,08/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
162,07/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
163,06/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
164,05/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
165,02/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
166,01/11/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
167,31/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
168,30/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
169,29/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
170,26/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
171,25/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
172,24/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
173,22/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
174,19/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
175,18/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
176,17/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
177,16/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
178,15/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
179,12/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
180,10/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
181,09/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
182,08/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
183,05/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
184,04/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
185,03/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
186,02/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
187,01/10/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
188,28/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
189,27/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
190,26/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
191,25/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
192,24/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
193,21/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
194,20/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
195,19/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
196,18/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
197,17/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
198,14/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
199,13/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
200,12/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
201,11/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
202,10/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
203,07/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
204,06/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
205,05/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
206,04/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
207,03/09/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
208,31/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
209,30/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
210,29/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
211,27/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
212,24/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
213,23/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
214,22/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
215,21/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
216,20/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
217,17/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
218,16/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
219,15/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
220,14/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
221,13/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
222,10/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
223,09/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
224,08/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
225,07/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
226,06/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
227,03/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
228,01/08/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
229,31/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
230,30/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
231,27/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
232,26/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
233,25/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
234,24/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
235,23/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
236,20/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
237,19/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
238,18/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
239,17/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
240,16/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
241,13/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
242,12/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
243,11/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
244,10/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
245,09/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
246,06/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
247,05/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
248,04/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
249,03/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
250,02/07/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
251,29/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
252,28/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
253,27/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
254,26/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
255,25/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
256,22/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
257,21/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
258,20/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
259,19/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
260,18/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
261,14/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
262,13/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
263,12/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
264,11/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
265,08/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
266,07/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
267,06/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
268,05/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
269,04/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
270,01/06/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
271,31/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
272,30/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
273,29/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
274,28/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
275,23/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
276,22/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
277,21/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
278,18/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
279,17/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
280,16/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
281,15/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
282,14/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
283,11/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
284,10/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
285,09/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
286,08/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
287,07/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
288,04/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
289,03/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
290,02/05/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
291,30/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
292,27/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
293,26/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
294,25/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
295,24/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
296,23/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
297,20/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
298,19/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
299,18/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
300,17/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
301,16/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
302,13/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
303,12/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
304,11/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
305,10/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
306,05/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
307,04/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
308,03/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
309,02/04/2018,"1.400,00",,,"1.400,00","0,00",0,0.0,0
