,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,"400,00","404,00","400,00","400,18","-0,90",912,364.968,364.968
1,27/11/2024,"403,00","404,00","403,00","403,80","-0,45","1,250",504.750,504.750
2,26/11/2024,"406,00","406,00","403,00","405,64","0,16","1,234",500.554,500.554
3,25/11/2024,"405,00","405,00","405,00","405,00","0,00",361,146.205,146.205
4,22/11/2024,"405,00","405,00","405,00","405,00","-0,36",47,19.035,19.035
5,21/11/2024,"405,00","409,00","405,00","406,45","0,03","1,809",735.272,735.272
6,20/11/2024,"405,00","409,00","405,00","406,33","0,26",450,182.850,182.850
7,19/11/2024,"405,00","410,00","405,00","405,26","-0,73","1,150",466.050,466.050
8,18/11/2024,"408,00","409,00","408,00","408,23","-0,05",130,53.070,53.070
9,15/11/2024,"408,00","409,00","408,00","408,42","-0,36",173,70.657,70.657
10,14/11/2024,"407,00","410,00","407,00","409,89","0,22","1,332",545.970,545.970
11,13/11/2024,"409,00","409,00","409,00","409,00","-0,01",215,87.935,87.935
12,12/11/2024,"410,00","410,00","405,00","409,03","0,01","3,135",1.282.315,1.282.315
13,11/11/2024,"409,00","409,00","409,00","409,00","0,13",260,106.340,106.340
14,08/11/2024,"410,00","410,00","407,00","408,47","-0,44","1,146",468.110,468.110
15,07/11/2024,"410,00","411,00","410,00","410,29","-1,13",700,287.200,287.200
16,06/11/2024,"415,00","415,00","415,00","415,00","-0,72",504,209.160,209.160
17,05/11/2024,"418,00","418,00","418,00","418,00","-0,48",13,5.434,5.434
18,04/11/2024,"420,00",,,"420,00","0,00",0,0,0
19,01/11/2024,"420,00","420,00","420,00","420,00","2,42",164,68.880,68.880
20,31/10/2024,"410,00","420,00","410,00","410,07","-1,43","1,452",595.420,595.420
21,30/10/2024,"417,00","420,00","415,00","416,02","-2,57","5,064",2.106.748,2.106.748
22,29/10/2024,"427,00",,,"427,00","0,00",0,0,0
23,28/10/2024,"427,00","427,00","427,00","427,00","2,15",15,6.405,6.405
24,25/10/2024,"418,00","418,00","418,00","418,00","-2,56",412,172.216,172.216
25,24/10/2024,"429,00","429,00","429,00","429,00","-0,23",135,57.915,57.915
26,22/10/2024,"430,00",,,"430,00","0,00",0,0,0
27,21/10/2024,"430,00",,,"430,00","0,00",0,0,0
28,18/10/2024,"430,00","430,00","430,00","430,00","2,04",38,16.340,16.340
29,17/10/2024,"415,00",,,"421,42","0,00",0,0,0
30,16/10/2024,"415,00","436,00","415,00","421,42","-3,57",288,121.368,121.368
31,15/10/2024,"437,00",,,"437,00","0,00",0,0,0
32,14/10/2024,"437,00",,,"437,00","0,00",0,0,0
33,10/10/2024,"437,00","437,00","437,00","437,00","0,00",50,21.850,21.850
34,09/10/2024,"437,00",,,"437,00","0,00",0,0,0
35,08/10/2024,"437,00","437,00","437,00","437,00","7,90",100,43.700,43.700
36,07/10/2024,"405,00","405,00","405,00","405,00","0,29",200,81.000,81.000
37,04/10/2024,"400,00","415,00","400,00","403,83","-1,50",600,242.300,242.300
38,03/10/2024,"410,00","410,00","410,00","410,00","-1,20",200,82.000,82.000
39,02/10/2024,"415,00","415,00","415,00","415,00","1,11","1,435",595.525,595.525
40,01/10/2024,"410,00","415,00","410,00","410,45","0,14",220,90.300,90.300
41,30/09/2024,"415,00",,,"409,86","0,00",0,0,0
42,27/09/2024,"415,00","415,00","409,00","409,86","1,20",350,143.450,143.450
43,26/09/2024,"405,00","405,00","405,00","405,00","1,17",140,56.700,56.700
44,25/09/2024,"400,00",,,"400,33","0,00",0,0,0
45,24/09/2024,"400,00","405,00","400,00","400,33","-2,36",750,300.250,300.250
46,23/09/2024,"410,00","410,00","410,00","410,00","0,00",100,41.000,41.000
47,20/09/2024,"410,00",,,"410,00","0,00",0,0,0
48,19/09/2024,"410,00","410,00","410,00","410,00","0,00",234,95.940,95.940
49,18/09/2024,"410,00","410,00","410,00","410,00","1,23",88,36.080,36.080
