,Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
0,28/11/2024,"1.800,00","1.899,00","1.800,00","1.801,34","-2,79",841,1.514.930,1.514.930
1,27/11/2024,"1.835,00",,,"1.853,08","0,00",0,0,0
2,26/11/2024,"1.835,00",,,"1.853,08","0,00",0,0,0
3,25/11/2024,"1.835,00","1.900,00","1.835,00","1.853,08","-1,94",165,305.759,305.759
4,22/11/2024,"1.890,00","1.890,00","1.850,00","1.889,74","-0,03",151,285.350,285.350
5,21/11/2024,"1.900,00","1.900,00","1.890,00","1.890,27","-2,56","1,182",2.234.300,2.234.300
6,20/11/2024,"1.940,00",,,"1.940,00","0,00",0,0,0
7,19/11/2024,"1.940,00","1.940,00","1.940,00","1.940,00","0,00",7,13.580,13.580
8,18/11/2024,"1.940,00","1.940,00","1.940,00","1.940,00","2,11",20,38.800,38.800
9,15/11/2024,"1.900,00",,,"1.900,00","0,00",0,0,0
10,14/11/2024,"1.900,00","1.900,00","1.900,00","1.900,00","-2,56","2,267",4.307.300,4.307.300
11,13/11/2024,"1.950,00",,,"1.950,00","0,00",0,0,0
12,12/11/2024,"1.950,00",,,"1.950,00","0,00",0,0,0
13,11/11/2024,"1.950,00",,,"1.950,00","0,00",0,0,0
14,08/11/2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,26",175,341.250,341.250
15,07/11/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
16,06/11/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
17,05/11/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
18,04/11/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
19,01/11/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
20,31/10/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
21,30/10/2024,"1.945,00","1.945,00","1.945,00","1.945,00","-0,05",125,243.125,243.125
22,29/10/2024,"1.946,00","1.946,00","1.946,00","1.946,00","0,00",91,177.086,177.086
23,28/10/2024,"1.946,00","1.946,00","1.946,00","1.946,00","-2,99",110,214.060,214.060
24,25/10/2024,"2.006,00",,,"2.006,00","0,00",0,0,0
25,24/10/2024,"2.006,00",,,"2.006,00","0,00",0,0,0
26,22/10/2024,"2.006,00",,,"2.006,00","0,00",0,0,0
27,21/10/2024,"2.006,00",,,"2.006,00","0,00",0,0,0
28,18/10/2024,"2.006,00","2.006,00","2.006,00","2.006,00","0,00",3,6.018,6.018
29,17/10/2024,"2.006,00","2.006,00","2.006,00","2.006,00","3,53",6,12.036,12.036
30,16/10/2024,"1.900,00","1.946,00","1.900,00","1.937,64","-0,43",11,21.314,21.314
31,15/10/2024,"1.946,00","1.946,00","1.946,00","1.946,00","-2,99",300,583.800,583.800
32,14/10/2024,"2.006,00","2.006,00","2.006,00","2.006,00","8,43",10,20.060,20.060
33,10/10/2024,"1.850,00","1.850,00","1.850,00","1.850,00","-7,41",165,305.250,305.250
34,09/10/2024,"1.998,00","1.998,00","1.998,00","1.998,00","0,00",10,19.980,19.980
35,08/10/2024,"1.998,00","1.998,00","1.998,00","1.998,00","2,46",14,27.972,27.972
36,07/10/2024,"1.950,00",,,"1.950,00","0,00",0,0,0
37,04/10/2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,10",16,31.200,31.200
38,03/10/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
39,02/10/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
40,01/10/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
41,30/09/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
42,27/09/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
43,26/09/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
44,25/09/2024,"1.920,00","1.972,00","1.920,00","1.947,97","-1,22",760,1.480.460,1.480.460
45,24/09/2024,"1.972,00","1.972,00","1.972,00","1.972,00","6,71",20,39.440,39.440
46,23/09/2024,"1.848,00","1.848,00","1.848,00","1.848,00","2,98",57,105.336,105.336
47,20/09/2024,"1.800,00",,,"1.794,52","0,00",0,0,0
48,19/09/2024,"1.800,00",,,"1.794,52","0,00",0,0,0
49,18/09/2024,"1.800,00","1.800,00","1.790,00","1.794,52","3,31",73,131.000,131.000
50,17/09/2024,"1.790,00","1.790,00","1.721,00","1.737,05","-0,46",43,74.693,74.693
51,16/09/2024,"1.741,00",,,"1.745,10","0,00",0,0,0
52,13/09/2024,"1.741,00","1.780,00","1.731,00","1.745,10","1,46","1,423",2.483.271,2.483.271
53,12/09/2024,"1.720,00","1.720,00","1.720,00","1.720,00","0,00",25,43.000,43.000
54,11/09/2024,"1.720,00",,,"1.720,00","0,00",0,0,0
55,10/09/2024,"1.720,00","1.720,00","1.720,00","1.720,00","-1,21",221,380.120,380.120
56,06/09/2024,"1.741,00",,,"1.741,00","0,00",0,0,0
57,05/09/2024,"1.741,00","1.741,00","1.741,00","1.741,00","0,00",10,17.410,17.410
58,04/09/2024,"1.741,00",,,"1.741,00","0,00",0,0,0
59,03/09/2024,"1.741,00",,,"1.741,00","0,00",0,0,0
60,02/09/2024,"1.741,00",,,"1.741,00","0,00",0,0,0
61,30/08/2024,"1.741,00","1.741,00","1.741,00","1.741,00","-2,19",206,358.646,358.646
62,29/08/2024,"1.780,00","1.780,00","1.780,00","1.780,00","0,32",100,178.000,178.000
63,27/08/2024,"1.760,00","1.781,00","1.760,00","1.774,32","2,56",88,156.140,156.140
64,26/08/2024,"1.730,00",,,"1.730,00","0,00",0,0,0
65,23/08/2024,"1.730,00","1.730,00","1.730,00","1.730,00","0,11",154,266.420,266.420
66,22/08/2024,"1.739,00","1.739,00","1.691,00","1.728,13","2,20",53,91.591,91.591
67,21/08/2024,"1.691,00","1.691,00","1.691,00","1.691,00","0,00",349,590.159,590.159
68,20/08/2024,"1.691,00","1.691,00","1.691,00","1.691,00","5,42",11,18.601,18.601
69,19/08/2024,"1.604,00",,,"1.604,00","0,00",0,0,0
70,16/08/2024,"1.604,00","1.604,00","1.604,00","1.604,00","0,25",31,49.724,49.724
71,15/08/2024,"1.600,00",,,"1.600,00","0,00",0,0,0
72,14/08/2024,"1.600,00","1.600,00","1.600,00","1.600,00","-2,56",500,800.000,800.000
73,13/08/2024,"1.642,00","1.642,00","1.642,00","1.642,00","-2,96",21,34.482,34.482
74,12/08/2024,"1.692,00","1.692,00","1.692,00","1.692,00","-2,98",14,23.688,23.688
75,08/11/2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,26",175,341.250,341.250
76,07/11/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
77,06/11/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
78,05/11/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
79,04/11/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
80,01/11/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
81,31/10/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
82,30/10/2024,"1.945,00","1.945,00","1.945,00","1.945,00","-0,05",125,243.125,243.125
83,29/10/2024,"1.946,00","1.946,00","1.946,00","1.946,00","0,00",91,177.086,177.086
84,28/10/2024,"1.946,00","1.946,00","1.946,00","1.946,00","-2,99",110,214.060,214.060
85,25/10/2024,"2.006,00",,,"2.006,00","0,00",0,0,0
86,24/10/2024,"2.006,00",,,"2.006,00","0,00",0,0,0
87,22/10/2024,"2.006,00",,,"2.006,00","0,00",0,0,0
88,21/10/2024,"2.006,00",,,"2.006,00","0,00",0,0,0
89,18/10/2024,"2.006,00","2.006,00","2.006,00","2.006,00","0,00",3,6.018,6.018
90,17/10/2024,"2.006,00","2.006,00","2.006,00","2.006,00","3,53",6,12.036,12.036
91,16/10/2024,"1.900,00","1.946,00","1.900,00","1.937,64","-0,43",11,21.314,21.314
92,15/10/2024,"1.946,00","1.946,00","1.946,00","1.946,00","-2,99",300,583.800,583.800
93,14/10/2024,"2.006,00","2.006,00","2.006,00","2.006,00","8,43",10,20.060,20.060
94,10/10/2024,"1.850,00","1.850,00","1.850,00","1.850,00","-7,41",165,305.250,305.250
95,09/10/2024,"1.998,00","1.998,00","1.998,00","1.998,00","0,00",10,19.980,19.980
96,08/10/2024,"1.998,00","1.998,00","1.998,00","1.998,00","2,46",14,27.972,27.972
97,07/10/2024,"1.950,00",,,"1.950,00","0,00",0,0,0
98,04/10/2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,10",16,31.200,31.200
99,03/10/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
100,02/10/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
101,01/10/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
102,30/09/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
103,27/09/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
104,26/09/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
105,25/09/2024,"1.920,00","1.972,00","1.920,00","1.947,97","-1,22",760,1.480.460,1.480.460
106,24/09/2024,"1.972,00","1.972,00","1.972,00","1.972,00","6,71",20,39.440,39.440
107,23/09/2024,"1.848,00","1.848,00","1.848,00","1.848,00","2,98",57,105.336,105.336
108,20/09/2024,"1.800,00",,,"1.794,52","0,00",0,0,0
109,19/09/2024,"1.800,00",,,"1.794,52","0,00",0,0,0
110,18/09/2024,"1.800,00","1.800,00","1.790,00","1.794,52","3,31",73,131.000,131.000
111,17/09/2024,"1.790,00","1.790,00","1.721,00","1.737,05","-0,46",43,74.693,74.693
112,16/09/2024,"1.741,00",,,"1.745,10","0,00",0,0,0
113,13/09/2024,"1.741,00","1.780,00","1.731,00","1.745,10","1,46","1,423",2.483.271,2.483.271
